GO Term,LL, shape, scale, misid, Converged,GO Term Name,shape uncertainty,scale uncertainty,misid uncertainty
9987.0,-4817.612,0.343,471.547,0.021, no,Cellular Process,0.378349669,2965.99667,0.0178765513
65007.0,-4759.624,0.356,514.651,0.024, no,Biological Regulation,0.761073733,2282.51736,0.0243709837
50789.0,-4749.883,0.349,570.805,0.022, no,Regulation of Biological Process,0.814386755,2417.7482,0.0266603074
8152.0,-4251.094,0.471,579.518,0.028, no,Metabolic Process,1.33559011,5721.77839,0.0447926867
48518.0,-4324.144,0.489,610.78,0.025, no,Positive Regulation,1.2247305,7906.68911,0.0471028632
32502.0,-4185.45,0.502,638.133,0.027, no,Developmental Process,1.84417529,6778.67265,0.0586444538
50896.0,-4385.462,0.52,546.613,0.032, no,Response to Stimulus,1.85556958,5883.8215,0.0500073862
48519.0,-4099.264,0.516,648.224,0.024, no,Negative Regulation,1.87252807,7878.78803,0.062019766
51179.0,-3896.972,0.514,710.569,0.026, no,Localization,1.97638872,8890.8043,0.0633337715
32501.0,-3770.335,0.512,951.345,0.028, no,Multicellular Organismal Process,2.54001521,10884.4144,0.0831873795
