GO Term,LL, shape, scale, misid, Converged,GO Term Name,shape uncertainty,scale uncertainty,misid uncertainty
9987.0,-1052.691,0.441,398.83,0.021, no,Cellular Process,0.656723209,1516.57563,0.00456023081
65007.0,-1037.705,0.482,427.152,0.015, no,Biological Regulation,0.635855457,2601.4887,0.0141074392
50789.0,-1006.423,0.46,512.761,0.016, no,Regulation of Biological Process,0.867281523,2233.45819,0.0146575498
8152.0,-1060.145,0.563,633.054,0.019, no,Metabolic Process,1.38998495,5735.92766,0.0266484286
48518.0,-1129.238,0.596,557.513,0.017, no,Positive Regulation,1.59092354,5331.12545,0.0283756462
32502.0,-945.349,0.554,1000.0,0.017, no,Developmental Process,1.74200078,10221.9746,0.0337751953
50896.0,-1164.983,0.62,563.189,0.018, no,Response to Stimulus,1.85680584,5827.13288,0.0323984982
48519.0,-980.035,0.582,876.207,0.019, no,Negative Regulation,1.82675187,9942.92459,0.0293942307
51179.0,-1200.995,0.642,524.598,0.021, no,Localization,2.43692172,4892.41938,0.0356748807
32501.0,-988.461,0.603,1000.0,0.017, no,Multicellular Organismal Process,2.36978601,12279.0902,0.0447959389
