GO Term,LL, shape1, scale1, shape2, scale2, misid, Converged,GO Term Name,shape1 uncertainty,scale1 uncertainty,shape2 uncertainty,scale2 uncertainty,misid uncertainty
9987.0,-5821.882,0.559,0.569,100.0,43.074,0.027, no,Cellular Process,0.507206753,0.734444569,475.580826,202.654531,
65007.0,-5840.879,0.614,0.6,100.0,53.339,0.026, no,Biological Regulation,0.572220972,0.681669795,614.945425,350.359795,
50789.0,-5848.223,0.617,0.58,100.0,58.113,0.031, no,Regulation of Biological Process,0.693887619,1.05428416,580.109578,318.145878,
8152.0,-5941.328,0.866,0.623,69.213,130.048,0.031, no,Metabolic Process,1.59560586,1.7533496,681.021397,1256.02006,
48518.0,-6140.706,0.837,0.829,85.217,64.686,0.032, no,Positive Regulation,2.0297023,1.75757423,834.561541,756.91458,
32502.0,-5622.847,0.807,0.631,100.0,142.107,0.025, no,Developmental Process,2.79202834,2.99835079,907.134349,1221.50473,
50896.0,-6318.118,0.95,0.733,70.257,89.644,0.034, no,Response to Stimulus,2.00521316,3.38650662,825.663184,797.119625,
48519.0,-5792.954,0.859,0.845,99.967,73.32,0.031, no,Negative Regulation,2.63522539,3.18369864,1093.52402,813.894635,
51179.0,-5958.62,0.861,1.121,99.901,41.314,0.031, no,Localization,3.0175856,2.06419659,1084.9692,610.158638,
32501.0,-5724.121,0.929,0.958,100.0,72.068,0.034, no,Multicellular Organismal Process,3.34260578,3.32616747,1329.5031,1081.64694,
