GO Term,LL, shape, scale, misid, Converged,GO Term Name,shape uncertainty,scale uncertainty,misid uncertainty
9987.0,-1052.691,0.441,398.83,0.021, no,Cellular Process,0.632568432,1588.32769,0.00469430004
65007.0,-1037.705,0.482,427.152,0.015, no,Biological Regulation,0.564582579,2854.14224,0.0127977193
50789.0,-1006.423,0.46,512.761,0.016, no,Regulation of Biological Process,0.837167086,2346.96852,0.0140071646
8152.0,-1060.145,0.563,633.054,0.019, no,Metabolic Process,1.25347124,6367.69599,0.0242347861
48518.0,-1129.238,0.596,557.513,0.017, no,Positive Regulation,1.44277523,5878.42855,0.0259196737
32502.0,-945.349,0.554,1000.0,0.017, no,Developmental Process,1.57259792,11586.8902,0.0306695308
50896.0,-1164.983,0.62,563.189,0.018, no,Response to Stimulus,1.69040596,6416.99206,0.0296662547
48519.0,-980.035,0.582,876.207,0.019, no,Negative Regulation,1.62183718,11295.4074,0.0259063654
51179.0,-1200.995,0.642,524.598,0.021, no,Localization,2.30792082,5263.02039,0.0333682529
32501.0,-988.461,0.603,1000.0,0.017, no,Multicellular Organismal Process,2.13616322,13973.9824,0.0406287688
