GOID	TERM
GO:1902027	positive regulation of cartilage condensation
GO:0045429	positive regulation of nitric oxide biosynthetic process
GO:1904495	negative regulation of substance P secretion, neurotransmission
GO:1904366	negative regulation of chemokinesis
GO:0002720	positive regulation of cytokine production involved in immune response
GO:0045220	positive regulation of FasL production
GO:0060051	negative regulation of protein glycosylation
GO:0061855	negative regulation of neuroblast migration
GO:0039534	negative regulation of MDA-5 signaling pathway
GO:1904775	positive regulation of ubiquinone biosynthetic process
GO:0033242	negative regulation of amine catabolic process
GO:0051496	positive regulation of stress fiber assembly
GO:2000783	negative regulation of establishment of cell polarity regulating cell shape
GO:0001963	synaptic transmission, dopaminergic
GO:0046822	regulation of nucleocytoplasmic transport
GO:1902842	negative regulation of netrin-activated signaling pathway
GO:0090335	regulation of brown fat cell differentiation
GO:2000526	positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
GO:0050671	positive regulation of lymphocyte proliferation
GO:1905797	negative regulation of intraciliary anterograde transport
GO:0002586	regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:1901672	positive regulation of systemic acquired resistance
GO:2000877	negative regulation of oligopeptide transport
GO:0060753	regulation of mast cell chemotaxis
GO:2000259	positive regulation of protein activation cascade
GO:0032072	regulation of restriction endodeoxyribonuclease activity
GO:1904752	regulation of vascular associated smooth muscle cell migration
GO:2000992	negative regulation of galactomannan catabolic process
GO:2000963	regulation of cellooligosaccharide catabolic process
GO:0070255	regulation of mucus secretion
GO:0009894	regulation of catabolic process
GO:0051589	negative regulation of neurotransmitter transport
GO:1905129	endocannabinoid signaling pathway involved in trans-synaptic signaling
GO:0010561	negative regulation of glycoprotein biosynthetic process
GO:0045599	negative regulation of fat cell differentiation
GO:0009588	UV-A, blue light phototransduction
GO:0002872	negative regulation of natural killer cell tolerance induction
GO:1905340	regulation of protein localization to kinetochore
GO:0010423	negative regulation of brassinosteroid biosynthetic process
GO:0032538	regulation of host-seeking behavior
GO:0030834	regulation of actin filament depolymerization
GO:0048679	regulation of axon regeneration
GO:2001266	Roundabout signaling pathway involved in axon guidance
GO:0106395	positive regulation of palmitic acid catabolic process
GO:2000390	negative regulation of neutrophil extravasation
GO:1905269	positive regulation of chromatin organization
GO:0141065	maternal mRNA clearance
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway
GO:0048521	negative regulation of behavior
GO:0043317	regulation of cytotoxic T cell degranulation
GO:0075202	regulation of penetration hypha formation
GO:1903645	negative regulation of chaperone-mediated protein folding
GO:2000837	regulation of androstenedione secretion
GO:0032880	regulation of protein localization
GO:1902995	positive regulation of phospholipid efflux
GO:0046646	regulation of gamma-delta T cell proliferation
GO:1904712	positive regulation of Wnt-Frizzled-LRP5/6 complex assembly
GO:0002715	regulation of natural killer cell mediated immunity
GO:0061067	negative regulation of dauer larval development
GO:2000741	positive regulation of mesenchymal stem cell differentiation
GO:2000611	positive regulation of thyroid hormone generation
GO:1904286	negative regulation of protein-pyridoxal-5-phosphate linkage
GO:0038161	prolactin signaling pathway
GO:0032224	positive regulation of synaptic transmission, cholinergic
GO:0043557	regulation of translation in response to osmotic stress
GO:1900352	negative regulation of methanofuran biosynthetic process
GO:1905423	positive regulation of plant organ morphogenesis
GO:0140667	regulation of oxytocin production
GO:0060673	cell-cell signaling involved in placenta development
GO:2001171	positive regulation of ATP biosynthetic process
GO:0060183	apelin receptor signaling pathway
GO:1902963	negative regulation of metalloendopeptidase activity involved in amyloid precursor protein catabolic process
GO:1903334	positive regulation of protein folding
GO:1904950	negative regulation of establishment of protein localization
GO:0002736	regulation of plasmacytoid dendritic cell cytokine production
GO:0002925	positive regulation of humoral immune response mediated by circulating immunoglobulin
GO:0043051	regulation of nematode pharyngeal pumping
GO:0098942	retrograde trans-synaptic signaling by trans-synaptic protein complex
GO:1902261	positive regulation of delayed rectifier potassium channel activity
GO:0072091	regulation of stem cell proliferation
GO:0110061	regulation of angiotensin-activated signaling pathway
GO:1905772	positive regulation of mesodermal cell differentiation
GO:1904591	positive regulation of protein import
GO:0046641	positive regulation of alpha-beta T cell proliferation
GO:0009967	positive regulation of signal transduction
GO:0010697	negative regulation of mitotic spindle pole body separation
GO:0120303	visually-mediated background adaptation
GO:0061294	mesonephric renal vesicle induction
GO:1900329	positive regulation of mannotriose transport
GO:0060282	positive regulation of oocyte development
GO:0051968	positive regulation of synaptic transmission, glutamatergic
GO:0106072	negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway
GO:0045627	positive regulation of T-helper 1 cell differentiation
GO:0071588	hydrogen peroxide mediated signaling pathway
GO:2000295	regulation of hydrogen peroxide catabolic process
GO:0110033	regulation of adenylate cyclase-activating glucose-activated G protein-coupled receptor signaling pathway
GO:0045958	positive regulation of complement activation, alternative pathway
GO:0007093	mitotic cell cycle checkpoint signaling
GO:1904968	positive regulation of spindle attachment to meiosis I kinetochore
GO:1900964	positive regulation of methanophenazine biosynthetic process
GO:1903946	negative regulation of ventricular cardiac muscle cell action potential
GO:1905809	negative regulation of synapse organization
GO:1902115	regulation of organelle assembly
GO:0043301	negative regulation of leukocyte degranulation
GO:1902313	positive regulation of copper ion transmembrane transport
GO:0032784	regulation of DNA-templated transcription elongation
GO:0120141	regulation of ecdysone receptor signaling pathway
GO:1905341	negative regulation of protein localization to kinetochore
GO:0060266	negative regulation of respiratory burst involved in inflammatory response
GO:0070563	negative regulation of vitamin D receptor signaling pathway
GO:0046426	negative regulation of receptor signaling pathway via JAK-STAT
GO:0048496	maintenance of animal organ identity
GO:1902152	positive regulation of response to DNA integrity checkpoint signaling
GO:0061944	negative regulation of protein K48-linked ubiquitination
GO:0006110	regulation of glycolytic process
GO:0110066	negative regulation of interphase mitotic telomere clustering
GO:0050747	positive regulation of lipoprotein metabolic process
GO:0072306	positive regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis
GO:0031954	positive regulation of protein autophosphorylation
GO:0032815	negative regulation of natural killer cell activation
GO:0061296	negative regulation of mesenchymal cell apoptotic process involved in mesonephric nephron morphogenesis
GO:0060307	regulation of ventricular cardiac muscle cell membrane repolarization
GO:1903325	positive regulation of snoRNA metabolic process
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
GO:0106040	regulation of GABA-A receptor activity
GO:0002797	regulation of antibacterial peptide secretion
GO:0072124	regulation of glomerular mesangial cell proliferation
GO:1905085	regulation of bioluminescence
GO:0032938	negative regulation of translation in response to oxidative stress
GO:0010924	regulation of inositol-polyphosphate 5-phosphatase activity
GO:0042659	regulation of cell fate specification
GO:0070875	positive regulation of glycogen metabolic process
GO:0010933	positive regulation of macrophage tolerance induction
GO:0003112	positive regulation of heart rate by neuronal epinephrine
GO:1905174	regulation of vascular associated smooth muscle cell dedifferentiation
GO:2000122	negative regulation of stomatal complex development
GO:0106428	positive regulation of kainate selective glutamate receptor signaling pathway
GO:0050732	negative regulation of peptidyl-tyrosine phosphorylation
GO:0002829	negative regulation of type 2 immune response
GO:0032690	negative regulation of interleukin-1 alpha production
GO:0002793	positive regulation of peptide secretion
GO:1905593	positive regulation of optical nerve axon regeneration
GO:0032710	negative regulation of interleukin-26 production
GO:0097202	activation of cysteine-type endopeptidase activity
GO:0040027	negative regulation of vulval development
GO:0045702	positive regulation of spermatid nuclear differentiation
GO:2000998	negative regulation of cellulose catabolic process
GO:1904553	negative regulation of chemotaxis to arachidonate
GO:0140244	regulation of translation at presynapse
GO:1900971	regulation of sarcinapterin biosynthetic process
GO:0045821	positive regulation of glycolytic process
GO:0010849	regulation of proton-transporting ATPase activity, rotational mechanism
GO:1904056	positive regulation of cholangiocyte proliferation
GO:1905800	negative regulation of intraciliary retrograde transport
GO:0014057	positive regulation of acetylcholine secretion, neurotransmission
GO:0032847	regulation of cellular pH reduction
GO:0090024	negative regulation of neutrophil chemotaxis
GO:1905648	regulation of shell calcification
GO:1903217	negative regulation of protein processing involved in protein targeting to mitochondrion
GO:1904688	regulation of cytoplasmic translational initiation
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway
GO:0051893	regulation of focal adhesion assembly
GO:1905557	regulation of mitotic nuclear envelope disassembly
GO:0045614	negative regulation of plasmatocyte differentiation
GO:0032411	positive regulation of transporter activity
GO:0075190	negative regulation of hyphopodium formation
GO:0045976	negative regulation of mitotic cell cycle, embryonic
GO:0007094	mitotic spindle assembly checkpoint signaling
GO:1905850	positive regulation of forward locomotion
GO:1905291	positive regulation of CAMKK-AMPK signaling cascade
GO:1904838	regulation of male germ-line stem cell asymmetric division
GO:0070344	regulation of fat cell proliferation
GO:0030451	regulation of complement activation, alternative pathway
GO:0003065	positive regulation of heart rate by epinephrine
GO:1902806	regulation of cell cycle G1/S phase transition
GO:0090035	positive regulation of chaperone-mediated protein complex assembly
GO:2001246	negative regulation of phosphatidylcholine biosynthetic process
GO:1904406	negative regulation of nitric oxide metabolic process
GO:0044725	epigenetic programming in the zygotic pronuclei
GO:0070173	regulation of enamel mineralization
GO:1900055	regulation of leaf senescence
GO:1902458	positive regulation of stomatal opening
GO:1905904	positive regulation of mesoderm formation
GO:0009047	dosage compensation by hyperactivation of X chromosome
GO:0051250	negative regulation of lymphocyte activation
GO:2000458	regulation of astrocyte chemotaxis
GO:1903427	negative regulation of reactive oxygen species biosynthetic process
GO:1903647	negative regulation of chlorophyll catabolic process
GO:0014915	regulation of muscle filament sliding speed involved in regulation of the velocity of shortening in skeletal muscle contraction
GO:0032967	positive regulation of collagen biosynthetic process
GO:0044145	modulation of formation of structure involved in a symbiotic process
GO:1902624	positive regulation of neutrophil migration
GO:0032232	negative regulation of actin filament bundle assembly
GO:0033144	negative regulation of intracellular steroid hormone receptor signaling pathway
GO:1903959	regulation of monoatomic anion transmembrane transport
GO:0180040	negative regulation of pheromone response MAPK cascade
GO:1901714	positive regulation of urea catabolic process
GO:0002154	thyroid hormone receptor signaling pathway
GO:2000523	regulation of T cell costimulation
GO:0045700	regulation of spermatid nuclear differentiation
GO:0036499	PERK-mediated unfolded protein response
GO:1901383	negative regulation of chorionic trophoblast cell proliferation
GO:0061084	negative regulation of protein refolding
GO:1902735	negative regulation of receptor-mediated virion attachment to host cell
GO:0001986	negative regulation of the force of heart contraction involved in baroreceptor response to increased systemic arterial blood pressure
GO:2001267	regulation of cysteine-type endopeptidase activity involved in apoptotic signaling pathway
GO:1905586	negative regulation of outer hair cell apoptotic process
GO:0032950	regulation of beta-glucan metabolic process
GO:0001814	negative regulation of antibody-dependent cellular cytotoxicity
GO:0033562	co-transcriptional gene silencing by RNA interference machinery
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
GO:0038111	interleukin-7-mediated signaling pathway
GO:1900432	negative regulation of filamentous growth of a population of unicellular organisms in response to heat
GO:1902218	regulation of intrinsic apoptotic signaling pathway in response to osmotic stress
GO:0086091	regulation of heart rate by cardiac conduction
GO:1904509	negative regulation of protein localization to basolateral plasma membrane
GO:0014735	regulation of muscle atrophy
GO:2000693	positive regulation of seed maturation
GO:0070801	positive regulation of conidiophore stalk development
GO:2000414	negative regulation of fibronectin-dependent thymocyte migration
GO:2000105	positive regulation of DNA-templated DNA replication
GO:0048324	regulation of axial mesodermal cell fate determination
GO:0071812	positive regulation of fever generation by positive regulation of prostaglandin secretion
GO:0075276	regulation of telium development
GO:0044060	regulation of endocrine process
GO:1902525	regulation of protein monoubiquitination
GO:1905607	negative regulation of presynapse assembly
GO:0048073	regulation of eye pigmentation
GO:0032928	regulation of superoxide anion generation
GO:0038060	nitric oxide-cGMP-mediated signaling
GO:0010899	regulation of phosphatidylcholine catabolic process
GO:0031665	negative regulation of lipopolysaccharide-mediated signaling pathway
GO:0061111	epithelial-mesenchymal cell signaling involved in lung development
GO:1901629	regulation of presynaptic membrane organization
GO:0051582	positive regulation of neurotransmitter uptake
GO:0010760	negative regulation of macrophage chemotaxis
GO:0062108	negative regulation of protein localization to non-growing cell tip
GO:1902752	regulation of renal amino acid absorption
GO:0140077	positive regulation of lipoprotein transport
GO:1900951	negative regulation of 18-methylnonadec-1-ene biosynthetic process
GO:0050932	regulation of pigment cell differentiation
GO:0080135	regulation of cellular response to stress
GO:0120277	positive regulation of cerebral blood circulation
GO:0003266	regulation of secondary heart field cardioblast proliferation
GO:1902254	negative regulation of intrinsic apoptotic signaling pathway by p53 class mediator
GO:0098977	inhibitory chemical synaptic transmission
GO:1900713	regulation of violaceol I biosynthetic process
GO:2000654	regulation of cellular response to testosterone stimulus
GO:0035347	negative regulation of hypoxanthine transport
GO:0033008	positive regulation of mast cell activation involved in immune response
GO:1902997	negative regulation of neurofibrillary tangle assembly
GO:2000308	negative regulation of tumor necrosis factor (ligand) superfamily member 11 production
GO:0070432	regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway
GO:0019229	regulation of vasoconstriction
GO:0010937	regulation of cytoplasmic microtubule depolymerization
GO:0007347	regulation of preblastoderm mitotic cell cycle
GO:0010983	positive regulation of high-density lipoprotein particle clearance
GO:0038114	interleukin-21-mediated signaling pathway
GO:0010104	regulation of ethylene-activated signaling pathway
GO:2001256	regulation of store-operated calcium entry
GO:1905213	negative regulation of mitotic chromosome condensation
GO:0043255	regulation of carbohydrate biosynthetic process
GO:1900670	regulation of F-9775A biosynthetic process
GO:0072204	cell-cell signaling involved in metanephros development
GO:0055024	regulation of cardiac muscle tissue development
GO:0062055	photosynthetic state transition
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:1903594	negative regulation of histamine secretion by mast cell
GO:1905432	regulation of retrograde trans-synaptic signaling by neuropeptide
GO:0032814	regulation of natural killer cell activation
GO:1900064	positive regulation of peroxisome organization
GO:0032682	negative regulation of chemokine production
GO:0043031	negative regulation of macrophage activation
GO:0032756	positive regulation of interleukin-7 production
GO:0009896	positive regulation of catabolic process
GO:2000717	positive regulation of maintenance of mitotic sister chromatid cohesion, arms
GO:0141209	oxysterol receptor signaling pathway
GO:0140719	constitutive heterochromatin formation
GO:0060158	phospholipase C-activating dopamine receptor signaling pathway
GO:0033005	positive regulation of mast cell activation
GO:0002653	negative regulation of tolerance induction dependent upon immune response
GO:1904242	regulation of pancreatic trypsinogen secretion
GO:0032205	negative regulation of telomere maintenance
GO:1900082	negative regulation of arginine catabolic process
GO:2000988	regulation of hemicellulose catabolic process
GO:1901182	regulation of camalexin biosynthetic process
GO:2000253	positive regulation of feeding behavior
GO:0048008	platelet-derived growth factor receptor signaling pathway
GO:0046782	regulation of viral transcription
GO:1905940	negative regulation of gonad development
GO:0110118	negative regulation of compound eye photoreceptor cell differentiation
GO:1904494	regulation of substance P secretion, neurotransmission
GO:1905774	regulation of DNA helicase activity
GO:0046322	negative regulation of fatty acid oxidation
GO:0090227	regulation of red or far-red light signaling pathway
GO:1900544	positive regulation of purine nucleotide metabolic process
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway
GO:0032715	negative regulation of interleukin-6 production
GO:1905189	regulation of metaphase/anaphase transition of meiosis II
GO:2001046	positive regulation of integrin-mediated signaling pathway
GO:0010696	positive regulation of mitotic spindle pole body separation
GO:1905457	negative regulation of lymphoid progenitor cell differentiation
GO:2000283	negative regulation of amino acid biosynthetic process
GO:0048842	positive regulation of axon extension involved in axon guidance
GO:0010656	negative regulation of muscle cell apoptotic process
GO:0048325	negative regulation of axial mesodermal cell fate determination
GO:2001262	positive regulation of semaphorin-plexin signaling pathway
GO:0002828	regulation of type 2 immune response
GO:1903356	positive regulation of distal tip cell migration
GO:1903798	regulation of miRNA processing
GO:0034760	negative regulation of iron ion transmembrane transport
GO:1900285	regulation of cellotriose transport
GO:1903371	regulation of endoplasmic reticulum tubular network organization
GO:0048169	regulation of long-term neuronal synaptic plasticity
GO:2000068	regulation of defense response to insect
GO:1901197	positive regulation of calcium-mediated signaling involved in cellular response to calcium ion
GO:0010641	positive regulation of platelet-derived growth factor receptor signaling pathway
GO:0046534	positive regulation of photoreceptor cell differentiation
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:1900161	regulation of phospholipid scramblase activity
GO:0032662	regulation of interleukin-19 production
GO:0031340	positive regulation of vesicle fusion
GO:1905615	positive regulation of developmental vegetative growth
GO:1905520	positive regulation of presynaptic active zone assembly
GO:1900228	regulation of single-species biofilm formation in or on host organism
GO:0045656	negative regulation of monocyte differentiation
GO:1905046	positive regulation of Schwann cell proliferation involved in axon regeneration
GO:0070479	nuclear-transcribed mRNA catabolic process, 5'-3' exonucleolytic nonsense-mediated decay
GO:1903975	regulation of glial cell migration
GO:2000201	negative regulation of ribosomal subunit export from nucleus
GO:2000786	positive regulation of autophagosome assembly
GO:1903052	positive regulation of proteolysis involved in protein catabolic process
GO:1905245	regulation of aspartic-type peptidase activity
GO:0034169	positive regulation of toll-like receptor 10 signaling pathway
GO:2000059	negative regulation of ubiquitin-dependent protein catabolic process
GO:0050680	negative regulation of epithelial cell proliferation
GO:0051611	regulation of serotonin uptake
GO:0032415	regulation of sodium:proton antiporter activity
GO:2000273	positive regulation of signaling receptor activity
GO:1905356	regulation of snRNA pseudouridine synthesis
GO:2000299	negative regulation of Rho-dependent protein serine/threonine kinase activity
GO:1905591	regulation of optical nerve axon regeneration
GO:1902526	negative regulation of protein monoubiquitination
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:1904139	regulation of microglial cell migration
GO:1904445	negative regulation of establishment of Sertoli cell barrier
GO:0060212	negative regulation of nuclear-transcribed mRNA poly(A) tail shortening
GO:1903583	positive regulation of basophil degranulation
GO:0045108	regulation of intermediate filament polymerization or depolymerization
GO:0007171	activation of transmembrane receptor protein tyrosine kinase activity
GO:2000715	regulation of maintenance of mitotic sister chromatid cohesion, arms
GO:1901889	negative regulation of cell junction assembly
GO:0032368	regulation of lipid transport
GO:1903859	regulation of dendrite extension
GO:2000194	regulation of female gonad development
GO:0051784	negative regulation of nuclear division
GO:0038171	cannabinoid signaling pathway
GO:0022401	negative adaptation of signaling pathway
GO:0070429	negative regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway
GO:1903132	regulation of tube lumen cavitation
GO:1904023	regulation of glucose catabolic process to lactate via pyruvate
GO:0060161	positive regulation of dopamine receptor signaling pathway
GO:1900735	positive regulation of flocculation
GO:1901978	positive regulation of cell cycle checkpoint
GO:1903847	regulation of aorta morphogenesis
GO:2001247	positive regulation of phosphatidylcholine biosynthetic process
GO:0052321	negative regulation of phytoalexin metabolic process
GO:0002668	negative regulation of T cell anergy
GO:0048330	positive regulation of axial mesodermal cell fate specification
GO:1905957	regulation of cellular response to alcohol
GO:2000049	positive regulation of cell-cell adhesion mediated by cadherin
GO:0060421	positive regulation of heart growth
GO:0010221	negative regulation of vernalization response
GO:1900939	negative regulation of (Z)-nonadeca-1,14-diene metabolic process
GO:2001008	positive regulation of cellulose biosynthetic process
GO:2000184	positive regulation of progesterone biosynthetic process
GO:0011000	replication fork arrest at mating type locus
GO:0046013	regulation of T cell homeostatic proliferation
