GOID	TERM
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0048874	host-mediated regulation of intestinal microbiota composition
GO:0044067	symbiont-mediated perturbation of host cell-cell junction
GO:0046814	coreceptor-mediated virion attachment to host cell
GO:0080034	host response to induction by symbiont of tumor, nodule or growth in host
GO:0075001	adhesion of symbiont infection structure to host
GO:0044406	adhesion of symbiont to host
GO:0039672	suppression by virus of host natural killer cell activation
GO:0052111	symbiont-mediated disruption of host anatomical structure
GO:0044359	modulation of molecular function in another organism
GO:0075293	response to host pH environment
GO:0051850	acquisition of nutrients from symbiont
GO:0020035	adhesion of symbiont to microvasculature
GO:0031640	killing of cells of another organism
GO:0001878	response to yeast
GO:0019062	virion attachment to host cell
GO:0141030	symbiont-mediated perturbation of host actin cytoskeleton via filamentous actin depolymerization
GO:0009625	response to insect
GO:0085017	entry into host cell by a symbiont-containing vacuole
GO:0044519	envenomation resulting in modulation of vasoactive intestinal polypeptide receptor activity in another organism
GO:0039640	viral release via suppression of host peptidoglycan biosynthetic process
GO:0044561	modulation of ion channel activity in another organism
GO:0141041	disruption of extracellular matrix of another organism
GO:0141070	symbiont-mediated suppression of host MAPK cascade
GO:0035806	perturbation of blood coagulation in another organism
GO:0098673	inhibition of host DNA replication by virus
GO:0044179	hemolysis in another organism
GO:0075035	appressorium maturation
GO:0044361	negative regulation of voltage-gated potassium channel activity in another organism
GO:0098542	defense response to other organism
GO:0044517	modulation of vasoactive intestinal polypeptide receptor activity in another organism
GO:0002215	defense response to nematode
GO:0141203	symbiont-mediated suppression of host complement activation by activation of host proteases
GO:0051873	killing by host of symbiont cells
GO:0052027	symbiont-mediated perturbation of host signal transduction pathway
GO:0070961	positive regulation of neutrophil mediated killing of symbiont cell
GO:0141081	symbiont-mediated suppression of host inflammasome-mediated signal transduction
GO:0044399	multi-species biofilm formation
GO:0035915	pore formation in membrane of another organism
GO:0140717	entry into host through the stromata
GO:0019057	symbiont-mediated perturbation of host translation
GO:0141171	symbiont-mediated perturbation of host membrane
GO:0075004	adhesion of symbiont spore to host
GO:0044493	envenomation resulting in negative regulation of voltage-gated sodium channel activity in another organism
GO:0044867	modulation by host of viral catalytic activity
GO:0044542	symbiont-mediated activation of host plasminogen
GO:0039595	symbiont-mediated degradation of host mRNA
GO:0140418	effector-mediated modulation of host process by symbiont
GO:0141142	symbiont-mediated migration across host tissue barrier
GO:0141033	symbiont-mediated perturbation of host actin cytoskeleton via actin polymerization
GO:0033656	symbiont-mediated disruption of host chloroplast
GO:0044491	positive regulation of molecular function in another organism
GO:0098864	symbiont-mediated stabilization of host tight cell-cell junction
GO:0052080	symbiont-mediated perturbation of host MAPK cascade
GO:0141104	symbiont-mediated activation of host G protein-coupled receptor signal transduction
GO:0052092	positive regulation of nutrient release by host
GO:0070952	regulation of neutrophil mediated killing of gram-positive bacterium
GO:0085001	formation of stylet for nutrient acquisition
GO:0052158	modulation by symbiont of host resistance gene-dependent defense response
GO:0044418	translocation of DNA into host
GO:0035918	negative regulation of voltage-gated calcium channel activity in another organism
GO:0075111	symbiont-mediated suppression of host receptor-mediated signal transduction
GO:0044762	symbiont-mediated suppression of host neurotransmitter secretion
GO:0052036	symbiont-mediated suppression of host inflammatory response
GO:0141026	adhesion of symbiont to host cell surface via host membrane cholesterol
GO:0044077	symbiont-mediated perturbation of host receptor-mediated endocytosis
GO:0140404	effector-mediated perturbation of host innate immune response by symbiont
GO:0009626	plant-type hypersensitive response
GO:0141083	symbiont-mediated suppression of host reactive oxygen species generation
GO:0085030	symbiotic process benefiting host
GO:0044833	modulation by virus of host protein transport
GO:0085033	symbiont-mediated activation of host NF-kappaB cascade
GO:0075138	response to host oxygen tension environment
GO:0098996	symbiont entry into host cell via disruption of host cell glycocalyx
GO:0044651	adhesion of symbiont to host epithelial cell
GO:0042832	defense response to protozoan
GO:0035895	modulation of mast cell degranulation in another organism
GO:0002241	response to parasitic plant
GO:0009603	detection of symbiotic fungus
GO:0002370	natural killer cell cytokine production
GO:0044468	envenomation resulting in modulation of blood coagulation in another organism
GO:0050830	defense response to Gram-positive bacterium
GO:0019730	antimicrobial humoral response
GO:0141042	symbiont-mediated cAMP intoxication of host cell
GO:0044870	modulation by host of viral glycoprotein metabolic process
GO:0039563	symbiont-mediated suppression of host JAK-STAT cascade via inhibition of STAT1 activity
GO:0070955	negative regulation of neutrophil mediated killing of symbiont cell
GO:0141140	symbiont-mediated suppression of host immunoglobulin-mediated immune response
GO:0002228	natural killer cell mediated immunity
GO:0044650	adhesion of symbiont to host cell
GO:0044485	envenomation resulting in fibrinogenolysis in another organism
GO:0044831	modulation by virus of host cytokine production
GO:0052160	symbiont-mediated perturbation of host systemic acquired resistance
GO:0044499	envenomation resulting in positive regulation of blood pressure in another organism
GO:0039635	suppression by virus of host peptidoglycan biosynthetic process
GO:0044562	envenomation resulting in negative regulation of voltage-gated potassium channel activity in another organism
GO:0044830	modulation by host of viral RNA genome replication
GO:0070949	regulation of neutrophil mediated killing of symbiont cell
GO:0044079	symbiont-mediated perturbation of host neurotransmitter secretion
GO:0039724	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of IKBKE activity
GO:0044476	envenomation resulting in negative regulation of low voltage-gated calcium channel activity in another organism
GO:0044556	envenomation resulting in negative regulation of heart rate in another organism
GO:0141073	symbiont-mediated perturbation of host opsonization
GO:0044495	modulation of blood pressure in another organism
GO:0052091	modulation of nutrient release by host
GO:0019049	virus-mediated perturbation of host defense response
GO:0002231	detection of oomycetes
GO:0075528	perturbation by virus of host immune response
GO:0080185	effector-mediated activation of plant hypersensitive response by symbiont
GO:0044473	envenomation resulting in negative regulation of calcium channel activity in another organism
GO:0070945	neutrophil-mediated killing of gram-negative bacterium
GO:0098002	receptor-mediated bacteriophage irreversible attachment to host cell
GO:0009602	detection of symbiont
GO:0051709	regulation of killing of cells of another organism
GO:0141082	symbiont-mediated detoxification of host-generated reactive oxygen species
GO:0044358	envenomation resulting in hemorrhagic damage in another organism
GO:0044551	envenomation resulting in vasodilation in another organism
GO:0039646	symbiont-mediated perturbation of host cell cycle G0/G1 transition checkpoint
GO:0052003	symbiont-mediated suppression of defense-related host salicylic acid-mediated signal transduction pathway
GO:0050831	male-specific defense response to bacterium
GO:0033659	symbiont-mediated disruption of host mitochondrion
GO:0002211	behavioral defense response to insect
GO:0044487	envenomation resulting in modulation of transmission of nerve impulse in another organism
GO:0039560	symbiont-mediated suppression of host JAK-STAT cascade via inhibition of host IRF9 activity
GO:0141018	adhesion of symbiont to host via host extracellular matrix
GO:0044490	positive regulation of voltage-gated sodium channel activity in another organism
GO:0141179	symbiont-mediated evasion of recognition by host antimicrobial peptide
GO:0035899	suppression of blood coagulation in another organism
GO:0046740	transport of virus in host, cell to cell
GO:0044863	modulation by virus of host cell division
GO:0034055	effector-mediated activation of programmed cell death in host
GO:0075000	response to host osmotic environment
GO:0009861	jasmonic acid and ethylene-dependent systemic resistance
GO:0009597	detection of virus
GO:0070959	negative regulation of neutrophil mediated killing of fungus
GO:0009608	response to symbiont
GO:0009601	detection of insect
GO:0044489	negative regulation of voltage-gated sodium channel activity in another organism
GO:0097615	modulation by host of symbiont type IV pilus-dependent motility
GO:0043922	negative regulation by host of viral transcription
GO:0044659	viral release from host cell by cytolysis
GO:0019731	antibacterial humoral response
GO:0098994	symbiont entry into host cell via disruption of host cell envelope
GO:0044506	modulation of glucagon-like peptide receptor 1 activity in another organism
GO:0141062	disruption of tissue in another organism
GO:0052042	symbiont-mediated activation of host programmed cell death
GO:0009627	systemic acquired resistance
GO:0051214	RNAi-mediated antiviral immunity against RNA virus
GO:0044788	modulation by host of viral process
GO:0044003	symbiont-mediated perturbation of host process
GO:0046718	symbiont entry into host cell
GO:0009620	response to fungus
GO:0051712	positive regulation of killing of cells of another organism
GO:0035893	suppression of platelet aggregation in another organism
GO:0046739	transport of virus in multicellular host
GO:0035917	negative regulation of calcium channel activity in another organism
GO:0035006	melanization defense response
GO:0052089	modulation by symbiont of host salicylic acid-mediated defense response
GO:0052081	symbiont-mediated perturbation of host salicylic acid-mediated signal transduction pathway
GO:0044360	modulation of voltage-gated potassium channel activity in another organism
GO:0044520	envenomation resulting in positive regulation of vasoactive intestinal polypeptide receptor activity in another organism
GO:0006962	male-specific antibacterial humoral response
GO:0070964	positive regulation of neutrophil mediated killing of gram-positive bacterium
GO:0044758	modulation by symbiont of host synaptic transmission
GO:0046776	symbiont-mediated suppression of host antigen processing and presentation of peptide antigen via MHC class I
GO:0044560	envenomation resulting in modulation of ion channel activity in another organism
GO:0002227	innate immune response in mucosa
GO:0044521	envenomation resulting in muscle damage in another organism
GO:0141154	symbiont-mediated suppression of host-directed shutoff of host translation
GO:0044694	symbiont genome entry into host cell via pore formation in plasma membrane
GO:0001867	complement activation, lectin pathway
GO:0051715	cytolysis in another organism
GO:0044866	modulation by host of viral exo-alpha-sialidase activity
GO:0039587	suppression by virus of host tetherin activity
GO:0140321	symbiont-mediated suppression of host autophagy
GO:0044554	modulation of heart rate in another organism
GO:0009600	detection of nematode
GO:0044511	envenomation resulting in modulation of receptor activity in another organism
GO:0052039	symbiont-mediated perturbation of host cytoskeleton
GO:0051838	cytolysis by host of symbiont cells
GO:0020033	antigenic variation
GO:0046784	viral mRNA export from host cell nucleus
GO:0039592	symbiont-mediated arrest of host cell cycle during G2/M transition
GO:0039699	symbiont-mediated evasion of mRNA degradation by host via mRNA cap methylation
GO:0046774	suppression by virus of host intracellular interferon activity
GO:0141132	defense response to host
GO:0044739	positive regulation of acid-sensing ion channel in another organism
GO:0039593	symbiont-mediated perturbation of host exit from mitosis
GO:0039723	symbiont-mediated suppression of host cytoplasmic pattern recognition receptor signaling pathway via inhibition of TBK1 activity
GO:0036377	arbuscular mycorrhizal association
GO:0039657	symbiont-mediated suppression of host gene expression
GO:0044486	modulation of transmission of nerve impulse in another organism
GO:0120324	procyclogenesis
GO:0075120	symbiont-mediated suppression of host G protein-coupled receptor signal transduction
GO:0044544	envenomation resulting in plasminogen activation in another organism
GO:0044660	viral release via pore formation in host cell membrane
GO:0009617	response to bacterium
GO:0002213	defense response to insect
GO:0120332	host-mediated regulation of oral microbiota composition
GO:0140267	symbiont entry into host cell via permeabilization of host membrane
GO:0052031	symbiont-mediated perturbation of host defense response
GO:0085016	dormancy exit of symbiont in host
GO:0044868	modulation by host of viral molecular function
GO:0039638	lipopolysaccharide-mediated virion attachment to host cell
GO:0085034	symbiont-mediated suppression of host NF-kappaB cascade
GO:0052098	formation by host of specialized structure for nutrient acquisition from symbiont
GO:0036522	negative regulation by symbiont of host protein localization to phagocytic vesicle
GO:0099047	clearance of foreign intracellular RNA
GO:0140403	effector-mediated suppression of host innate immune response
