GOID	TERM
GO:1902027	positive regulation of cartilage condensation
GO:0045429	positive regulation of nitric oxide biosynthetic process
GO:0045220	positive regulation of FasL production
GO:0002720	positive regulation of cytokine production involved in immune response
GO:2000412	positive regulation of thymocyte migration
GO:2000010	positive regulation of protein localization to cell surface
GO:0032745	positive regulation of interleukin-21 production
GO:1904775	positive regulation of ubiquinone biosynthetic process
GO:1900651	positive regulation of dehydroaustinol biosynthetic process
GO:1903465	positive regulation of mitotic cell cycle DNA replication
GO:0051496	positive regulation of stress fiber assembly
GO:1903490	positive regulation of mitotic cytokinesis
GO:0140426	pathogen-associated molecular pattern receptor signaling pathway
GO:0045949	positive regulation of phosphorus utilization
GO:0010744	positive regulation of macrophage derived foam cell differentiation
GO:0060569	positive regulation of peptide hormone processing
GO:0045923	positive regulation of fatty acid metabolic process
GO:0002796	positive regulation of antimicrobial peptide secretion
GO:0010808	positive regulation of synaptic vesicle priming
GO:0070131	positive regulation of mitochondrial translation
GO:2000526	positive regulation of glycoprotein biosynthetic process involved in immunological synapse formation
GO:0050668	positive regulation of homocysteine metabolic process
GO:0080040	positive regulation of cellular response to phosphate starvation
GO:0050671	positive regulation of lymphocyte proliferation
GO:0035505	positive regulation of myosin light chain kinase activity
GO:1901672	positive regulation of systemic acquired resistance
GO:2000259	positive regulation of protein activation cascade
GO:0045991	carbon catabolite activation of transcription
GO:1903244	positive regulation of cardiac muscle hypertrophy in response to stress
GO:1904094	positive regulation of autophagic cell death
GO:1900898	positive regulation of heptadecane biosynthetic process
GO:0070368	positive regulation of hepatocyte differentiation
GO:2000076	positive regulation of cytokinesis, site selection
GO:1902685	positive regulation of receptor localization to synapse
GO:1905786	positive regulation of anaphase-promoting complex-dependent catabolic process
GO:1902533	positive regulation of intracellular signal transduction
GO:0002253	activation of immune response
GO:1902895	positive regulation of miRNA transcription
GO:1902339	positive regulation of apoptotic process involved in morphogenesis
GO:1903524	positive regulation of blood circulation
GO:1990074	polyuridylation-dependent mRNA catabolic process
GO:0051050	positive regulation of transport
GO:0106395	positive regulation of palmitic acid catabolic process
GO:1903766	positive regulation of potassium ion export across plasma membrane
GO:1905269	positive regulation of chromatin organization
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway
GO:0002922	positive regulation of humoral immune response
GO:0060550	positive regulation of fructose 1,6-bisphosphate 1-phosphatase activity
GO:0048298	positive regulation of isotype switching to IgA isotypes
GO:0060399	positive regulation of growth hormone receptor signaling pathway
GO:2000330	positive regulation of T-helper 17 cell lineage commitment
GO:1904197	positive regulation of granulosa cell proliferation
GO:2000158	positive regulation of ubiquitin-specific protease activity
GO:1904554	positive regulation of chemotaxis to arachidonate
GO:1902995	positive regulation of phospholipid efflux
GO:0060808	positive regulation of mesodermal to mesenchymal transition involved in gastrulation
GO:1905845	positive regulation of cellular response to gamma radiation
GO:1903942	positive regulation of respiratory gaseous exchange
GO:0045696	positive regulation of embryo sac egg cell differentiation
GO:0032927	positive regulation of activin receptor signaling pathway
GO:1904712	positive regulation of Wnt-Frizzled-LRP5/6 complex assembly
GO:0070807	positive regulation of phialide development
GO:1900296	positive regulation of heptasaccharide transport
GO:1900005	positive regulation of serine-type endopeptidase activity
GO:1902185	positive regulation of shoot apical meristem development
GO:0010186	positive regulation of cellular defense response
GO:2000741	positive regulation of mesenchymal stem cell differentiation
GO:2000611	positive regulation of thyroid hormone generation
GO:1905832	positive regulation of spindle assembly
GO:1901731	positive regulation of platelet aggregation
GO:1900505	positive regulation of cellulosome assembly
GO:0032224	positive regulation of synaptic transmission, cholinergic
GO:2001150	positive regulation of dipeptide transmembrane transport
GO:0010365	positive regulation of ethylene biosynthetic process
GO:1900489	positive regulation of [2Fe-2S] cluster assembly
GO:0032382	positive regulation of intracellular sterol transport
GO:0031452	negative regulation of heterochromatin formation
GO:0045945	positive regulation of transcription by RNA polymerase III
GO:0032278	positive regulation of gonadotropin secretion
GO:1905423	positive regulation of plant organ morphogenesis
GO:1901953	positive regulation of anterograde dense core granule transport
GO:2001171	positive regulation of ATP biosynthetic process
GO:0036279	positive regulation of protein export from nucleus in response to glucose starvation
GO:1905528	positive regulation of Golgi lumen acidification
GO:0141163	positive regulation of cAMP/PKA signal transduction
GO:1903334	positive regulation of protein folding
GO:2000623	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay
GO:0002925	positive regulation of humoral immune response mediated by circulating immunoglobulin
GO:2000337	positive regulation of endothelial microparticle formation
GO:0032834	positive regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
GO:1902261	positive regulation of delayed rectifier potassium channel activity
GO:0003087	positive regulation of the force of heart contraction by neuronal epinephrine
GO:1905772	positive regulation of mesodermal cell differentiation
GO:1904591	positive regulation of protein import
GO:0046641	positive regulation of alpha-beta T cell proliferation
GO:0034130	toll-like receptor 1 signaling pathway
GO:0009967	positive regulation of signal transduction
GO:0061294	mesonephric renal vesicle induction
GO:1904535	positive regulation of telomeric loop disassembly
GO:1900329	positive regulation of mannotriose transport
GO:0060282	positive regulation of oocyte development
GO:0010892	positive regulation of mitochondrial translation in response to stress
GO:0051968	positive regulation of synaptic transmission, glutamatergic
GO:0045627	positive regulation of T-helper 1 cell differentiation
GO:1902664	positive regulation of peptidyl-L-cysteine S-palmitoylation
GO:0031451	positive regulation of slow-twitch skeletal muscle fiber contraction
GO:0045958	positive regulation of complement activation, alternative pathway
GO:1904968	positive regulation of spindle attachment to meiosis I kinetochore
GO:1905686	positive regulation of plasma membrane repair
GO:1900964	positive regulation of methanophenazine biosynthetic process
GO:0031555	transcriptional attenuation
GO:0003090	positive regulation of the force of heart contraction by neuronal epinephrine-norepinephrine
GO:2001224	positive regulation of neuron migration
GO:1900314	positive regulation of maltohexaose transport
GO:2000268	positive regulation of blood coagulation, intrinsic pathway
GO:1903284	positive regulation of glutathione peroxidase activity
GO:1902313	positive regulation of copper ion transmembrane transport
GO:1905065	positive regulation of vascular associated smooth muscle cell differentiation
GO:1903250	positive regulation of citrulline biosynthetic process
GO:1901002	positive regulation of response to salt stress
GO:1902152	positive regulation of response to DNA integrity checkpoint signaling
GO:1904480	positive regulation of intestinal absorption
GO:0031337	positive regulation of sulfur amino acid metabolic process
GO:0060474	positive regulation of flagellated sperm motility involved in capacitation
GO:0032730	positive regulation of interleukin-1 alpha production
GO:0120215	positive regulation of histidine biosynthetic process
GO:1905171	positive regulation of protein localization to phagocytic vesicle
GO:0045588	positive regulation of gamma-delta T cell differentiation
GO:1902530	positive regulation of protein linear polyubiquitination
GO:0050747	positive regulation of lipoprotein metabolic process
GO:2000510	positive regulation of dendritic cell chemotaxis
GO:0072306	positive regulation of mesenchymal cell apoptotic process involved in metanephric nephron morphogenesis
GO:1903127	positive regulation of centriole-centriole cohesion
GO:0032744	positive regulation of interleukin-20 production
GO:0031954	positive regulation of protein autophosphorylation
GO:1902213	positive regulation of prolactin signaling pathway
GO:0051519	activation of bipolar cell growth
GO:0141111	positive regulation of cGAS/STING signaling pathway
GO:1903325	positive regulation of snoRNA metabolic process
GO:0072216	positive regulation of metanephros development
GO:0051254	positive regulation of RNA metabolic process
GO:1905363	positive regulation of endosomal vesicle fusion
GO:0141167	chromosomal 5-methylcytosine DNA demethylation, oxidation pathway
GO:0042976	activation of Janus kinase activity
GO:0060058	positive regulation of apoptotic process involved in mammary gland involution
GO:1905128	positive regulation of axo-dendritic protein transport
GO:2001244	positive regulation of intrinsic apoptotic signaling pathway
GO:2000627	positive regulation of miRNA catabolic process
GO:2000784	positive regulation of establishment of cell polarity regulating cell shape
GO:1903698	positive regulation of microvillus assembly
GO:2000956	positive regulation of cyclodextrin metabolic process
GO:1902868	positive regulation of retina development in camera-type eye
GO:1903569	positive regulation of protein localization to ciliary membrane
GO:1905287	positive regulation of G2/M transition of mitotic cell cycle involved in cellular response to nitrogen starvation
GO:2000476	positive regulation of opioid receptor signaling pathway
GO:1900486	positive regulation of isopentenyl diphosphate biosynthetic process, mevalonate pathway
GO:0150145	positive regulation of CD80 production
GO:0070875	positive regulation of glycogen metabolic process
GO:0010933	positive regulation of macrophage tolerance induction
GO:0003112	positive regulation of heart rate by neuronal epinephrine
GO:0034253	positive regulation of amide catabolic process
GO:0071642	positive regulation of macrophage inflammatory protein 1 alpha production
GO:0106428	positive regulation of kainate selective glutamate receptor signaling pathway
GO:2000504	positive regulation of blood vessel remodeling
GO:0003111	positive regulation of heart rate by circulating epinephrine
GO:0071663	positive regulation of granzyme B production
GO:1905848	positive regulation of cellular response to oxidopamine
GO:1903058	positive regulation of melanosome organization
GO:1902004	positive regulation of amyloid-beta formation
GO:0002793	positive regulation of peptide secretion
GO:1900657	positive regulation of diorcinol biosynthetic process
GO:1905593	positive regulation of optical nerve axon regeneration
GO:1902252	positive regulation of erythrocyte apoptotic process
GO:0042102	positive regulation of T cell proliferation
GO:0097202	activation of cysteine-type endopeptidase activity
GO:1903082	positive regulation of C-C chemokine receptor CCR7 signaling pathway
GO:0045702	positive regulation of spermatid nuclear differentiation
GO:2000063	positive regulation of ureter smooth muscle cell differentiation
GO:1904504	positive regulation of lipophagy
GO:1900344	positive regulation of methane biosynthetic process from dimethyl sulfide
GO:0045821	positive regulation of glycolytic process
GO:1904056	positive regulation of cholangiocyte proliferation
GO:0031294	lymphocyte costimulation
GO:0040026	positive regulation of vulval development
GO:0014057	positive regulation of acetylcholine secretion, neurotransmission
GO:1904291	positive regulation of mitotic DNA damage checkpoint
GO:1901192	positive regulation of formation of translation initiation ternary complex
GO:1901843	positive regulation of high voltage-gated calcium channel activity
GO:0048386	positive regulation of retinoic acid receptor signaling pathway
GO:1900290	positive regulation of coenzyme F420-dependent bicyclic nitroimidazole catabolic process
GO:1905084	positive regulation of mitochondrial translational elongation
GO:0003059	positive regulation of the force of heart contraction by epinephrine
GO:0034181	positive regulation of toll-like receptor 13 signaling pathway
GO:0045940	positive regulation of steroid metabolic process
GO:2000108	positive regulation of leukocyte apoptotic process
GO:0032411	positive regulation of transporter activity
GO:1901245	positive regulation of toll-like receptor 9 signaling pathway by B cell receptor internalization
GO:0071657	positive regulation of granulocyte colony-stimulating factor production
GO:1905850	positive regulation of forward locomotion
GO:0070447	positive regulation of oligodendrocyte progenitor proliferation
GO:0002627	positive regulation of T cell antigen processing and presentation
GO:1905291	positive regulation of CAMKK-AMPK signaling cascade
GO:0046136	positive regulation of vitamin metabolic process
GO:2001196	positive regulation of lysine biosynthetic process via alpha-aminoadipate and saccharopine
GO:1900106	positive regulation of hyaluranon cable assembly
GO:0003065	positive regulation of heart rate by epinephrine
GO:1901433	positive regulation of response to cycloalkane
GO:2000845	positive regulation of testosterone secretion
GO:0140131	positive regulation of lymphocyte chemotaxis
GO:0075203	positive regulation of penetration hypha formation
GO:0032722	positive regulation of chemokine production
GO:1902553	positive regulation of catalase activity
GO:0034165	positive regulation of toll-like receptor 9 signaling pathway
GO:0090035	positive regulation of chaperone-mediated protein complex assembly
GO:1902070	positive regulation of sphingolipid mediated signaling pathway
GO:1905010	positive regulation of L-lysine import across plasma membrane
GO:0031550	positive regulation of brain-derived neurotrophic factor receptor signaling pathway
GO:0140887	positive regulation of nucleosome disassembly
GO:0045687	positive regulation of glial cell differentiation
GO:1905552	positive regulation of protein localization to endoplasmic reticulum
GO:1902849	positive regulation of neuronal signal transduction
GO:1903595	positive regulation of histamine secretion by mast cell
GO:1902458	positive regulation of stomatal opening
GO:1905904	positive regulation of mesoderm formation
GO:2000017	positive regulation of determination of dorsal identity
GO:0090316	positive regulation of intracellular protein transport
GO:1902953	positive regulation of ER to Golgi vesicle-mediated transport
GO:0045654	positive regulation of megakaryocyte differentiation
GO:1900734	positive regulation of polyketide biosynthetic process
GO:0032967	positive regulation of collagen biosynthetic process
GO:0043077	initiation of acetate catabolic process
GO:1902624	positive regulation of neutrophil migration
GO:0033120	positive regulation of RNA splicing
GO:2000601	positive regulation of Arp2/3 complex-mediated actin nucleation
GO:0042104	positive regulation of activated T cell proliferation
GO:1903543	positive regulation of exosomal secretion
GO:0071047	polyadenylation-dependent mRNA catabolic process
GO:1904699	positive regulation of acinar cell proliferation
GO:1902993	positive regulation of amyloid precursor protein catabolic process
GO:1900961	positive regulation of 17-methylnonadec-1-ene metabolic process
GO:2000430	positive regulation of neutrophil aggregation
GO:1901714	positive regulation of urea catabolic process
GO:0048304	positive regulation of isotype switching to IgG isotypes
GO:0070349	positive regulation of brown fat cell proliferation
GO:0070172	positive regulation of tooth mineralization
GO:2001214	positive regulation of vasculogenesis
GO:0160160	positive regulation of nicotine catabolic process
GO:0010604	positive regulation of macromolecule metabolic process
GO:0045678	positive regulation of R7 cell differentiation
GO:0045594	positive regulation of cumulus cell differentiation
GO:1905036	positive regulation of antifungal innate immune response
GO:0031295	T cell costimulation
GO:0035078	induction of programmed cell death by ecdysone
GO:1904330	positive regulation of myofibroblast contraction
GO:0032736	positive regulation of interleukin-13 production
GO:0045639	positive regulation of myeloid cell differentiation
GO:0050731	positive regulation of peptidyl-tyrosine phosphorylation
GO:0033090	positive regulation of extrathymic T cell differentiation
GO:0045778	positive regulation of ossification
GO:0090187	positive regulation of pancreatic juice secretion
GO:2000693	positive regulation of seed maturation
GO:0160177	positive regulation of autophagosome-lysosome fusion
GO:0070801	positive regulation of conidiophore stalk development
GO:1903346	positive regulation of protein polyglycylation
GO:1902372	positive regulation of tRNA catabolic process
GO:2000105	positive regulation of DNA-templated DNA replication
GO:0071812	positive regulation of fever generation by positive regulation of prostaglandin secretion
GO:0010666	positive regulation of cardiac muscle cell apoptotic process
GO:0001809	positive regulation of type IV hypersensitivity
GO:1904278	positive regulation of wax biosynthetic process
GO:1905782	positive regulation of phosphatidylserine exposure on apoptotic cell surface
GO:0051044	positive regulation of membrane protein ectodomain proteolysis
GO:0051919	positive regulation of fibrinolysis
GO:0051047	positive regulation of secretion
GO:0051582	positive regulation of neurotransmitter uptake
GO:0032346	positive regulation of aldosterone metabolic process
GO:0035667	TRIF-dependent toll-like receptor 4 signaling pathway
GO:0140077	positive regulation of lipoprotein transport
GO:0140648	positive regulation of cell cycle switching, mitotic to meiotic cell cycle
GO:0120277	positive regulation of cerebral blood circulation
GO:2000382	positive regulation of mesoderm development
GO:1900086	positive regulation of peptidyl-tyrosine autophosphorylation
GO:0060315	negative regulation of ryanodine-sensitive calcium-release channel activity
GO:0060999	positive regulation of dendritic spine development
GO:0033008	positive regulation of mast cell activation involved in immune response
GO:0010983	positive regulation of high-density lipoprotein particle clearance
GO:1905492	positive regulation of branching morphogenesis of a nerve
GO:1903370	positive regulation of foraging behavior
GO:0046852	positive regulation of bone remodeling
GO:0090687	activation of meiosis I spindle assembly checkpoint
GO:0032388	positive regulation of intracellular transport
GO:1900430	positive regulation of filamentous growth of a population of unicellular organisms
GO:0140668	positive regulation of oxytocin production
GO:0002588	positive regulation of antigen processing and presentation of peptide antigen via MHC class II
GO:0032414	positive regulation of ion transmembrane transporter activity
GO:1902043	positive regulation of extrinsic apoptotic signaling pathway via death domain receptors
GO:0051590	positive regulation of neurotransmitter transport
GO:1900064	positive regulation of peroxisome organization
GO:1902568	positive regulation of eosinophil activation
GO:1904781	positive regulation of protein localization to centrosome
GO:0090080	positive regulation of MAPKKK cascade by fibroblast growth factor receptor signaling pathway
GO:0042307	positive regulation of protein import into nucleus
GO:0032340	positive regulation of inhibin secretion
GO:1903971	positive regulation of response to macrophage colony-stimulating factor
GO:0032756	positive regulation of interleukin-7 production
GO:0009896	positive regulation of catabolic process
GO:2000717	positive regulation of maintenance of mitotic sister chromatid cohesion, arms
GO:1902913	positive regulation of neuroepithelial cell differentiation
GO:0031951	positive regulation of glucocorticoid catabolic process
GO:2000566	positive regulation of CD8-positive, alpha-beta T cell proliferation
GO:0110015	positive regulation of elastin catabolic process
GO:0120183	positive regulation of focal adhesion disassembly
GO:0045880	positive regulation of smoothened signaling pathway
GO:0033005	positive regulation of mast cell activation
GO:0038089	positive regulation of cell migration by vascular endothelial growth factor signaling pathway
GO:1900156	positive regulation of bone trabecula formation
GO:0075277	positive regulation of telium development
GO:2000253	positive regulation of feeding behavior
GO:0120162	positive regulation of cold-induced thermogenesis
GO:0043415	positive regulation of skeletal muscle tissue regeneration
GO:0046830	positive regulation of RNA import into nucleus
GO:2000959	positive regulation of cyclodextrin catabolic process
GO:0014858	positive regulation of skeletal muscle cell proliferation
GO:1900544	positive regulation of purine nucleotide metabolic process
GO:1903265	positive regulation of tumor necrosis factor-mediated signaling pathway
GO:0032755	positive regulation of interleukin-6 production
GO:0045907	positive regulation of vasoconstriction
GO:2001046	positive regulation of integrin-mediated signaling pathway
GO:0010696	positive regulation of mitotic spindle pole body separation
GO:0072108	positive regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis
GO:0048842	positive regulation of axon extension involved in axon guidance
GO:2000487	positive regulation of glutamine transport
GO:0012502	induction of programmed cell death
GO:2001262	positive regulation of semaphorin-plexin signaling pathway
GO:1903356	positive regulation of distal tip cell migration
GO:1901995	positive regulation of meiotic cell cycle phase transition
GO:0051795	positive regulation of timing of catagen
GO:0051633	positive regulation of acetylcholine uptake
GO:1905149	positive regulation of smooth muscle hypertrophy
GO:2000491	positive regulation of hepatic stellate cell activation
GO:0010641	positive regulation of platelet-derived growth factor receptor signaling pathway
GO:1901197	positive regulation of calcium-mediated signaling involved in cellular response to calcium ion
GO:1903954	positive regulation of voltage-gated potassium channel activity involved in atrial cardiac muscle cell action potential repolarization
GO:0032892	positive regulation of organic acid transport
GO:0046534	positive regulation of photoreceptor cell differentiation
GO:0010557	positive regulation of macromolecule biosynthetic process
GO:0062027	positive regulation of SCF-dependent proteasomal ubiquitin-dependent catabolic process
GO:0044129	positive regulation of development of symbiont in host
GO:0031340	positive regulation of vesicle fusion
GO:1905615	positive regulation of developmental vegetative growth
GO:1904395	positive regulation of skeletal muscle acetylcholine-gated channel clustering
GO:1905520	positive regulation of presynaptic active zone assembly
GO:0061075	positive regulation of neural retina development
GO:1901307	positive regulation of spermidine biosynthetic process
GO:0071636	positive regulation of transforming growth factor beta production
GO:1905046	positive regulation of Schwann cell proliferation involved in axon regeneration
GO:2000786	positive regulation of autophagosome assembly
GO:1900227	positive regulation of NLRP3 inflammasome complex assembly
GO:1903052	positive regulation of proteolysis involved in protein catabolic process
GO:0060376	positive regulation of mast cell differentiation
GO:0034178	toll-like receptor 13 signaling pathway
GO:0050820	positive regulation of coagulation
GO:1901465	positive regulation of tetrapyrrole biosynthetic process
GO:0034169	positive regulation of toll-like receptor 10 signaling pathway
GO:0050870	positive regulation of T cell activation
GO:0062033	positive regulation of mitotic sister chromatid segregation
GO:0031536	positive regulation of exit from mitosis
GO:0045870	positive regulation of single stranded viral RNA replication via double stranded DNA intermediate
GO:1900952	positive regulation of 18-methylnonadec-1-ene biosynthetic process
GO:2000243	positive regulation of reproductive process
