GOID	TERM
GO:0048803	imaginal disc-derived male genitalia morphogenesis
GO:0080166	stomium development
GO:0007313	maternal specification of dorsal/ventral axis, oocyte, soma encoded
GO:0007120	axial cellular bud site selection
GO:0007292	female gamete generation
GO:0060138	fetal process involved in parturition
GO:0042713	sperm ejaculation
GO:0051759	sister chromosome movement towards spindle pole involved in meiotic sister chromatid segregation
GO:0061956	penetration of cumulus oophorus
GO:1903563	microtubule bundle formation involved in horsetail-astral microtubule organization
GO:0048465	corolla development
GO:0040021	hermaphrodite germ-line sex determination
GO:0035846	oviduct epithelium development
GO:0048159	primary oocyte stage
GO:0007320	insemination
GO:0032121	meiotic attachment of telomeric heterochromatin to spindle pole body
GO:0106213	kinetochore disassembly involved in meiotic chromosome organization
GO:0070787	conidiophore development
GO:0046660	female sex differentiation
GO:0001544	initiation of primordial ovarian follicle growth
GO:0048806	genitalia development
GO:0007307	eggshell chorion gene amplification
GO:0160027	egg deposition
GO:0034303	myxospore formation
GO:0001543	ovarian follicle rupture
GO:0051311	meiotic metaphase chromosome alignment
GO:0022412	cellular process involved in reproduction in multicellular organism
GO:0120316	sperm flagellum assembly
GO:0051757	meiotic sister chromatid separation
GO:0060068	vagina development
GO:0019099	female germ-line sex determination
GO:0075222	sporangium germination
GO:0001550	ovarian cumulus expansion
GO:0030436	asexual sporulation
GO:0060742	epithelial cell differentiation involved in prostate gland development
GO:0051455	spindle attachment to meiosis I kinetochore
GO:0060736	prostate gland growth
GO:0099121	fungal sorus development
GO:0051316	attachment of meiotic spindle microtubules to kinetochore
GO:0030584	sporocarp development
GO:0140084	sexual macrocyst formation
GO:0060180	female mating behavior
GO:0043935	sexual sporulation resulting in formation of a cellular spore
GO:0007277	pole cell development
GO:0007056	spindle assembly involved in female meiosis
GO:0048162	multi-layer follicle stage
GO:0030728	ovulation
GO:0000909	sporocarp development involved in sexual reproduction
GO:0046009	positive regulation of female receptivity, post-mating
GO:0010162	seed dormancy process
GO:0160087	spermatid cytoplasm removal during spermiation of flagellated sperm
GO:0048451	petal formation
GO:0075313	basidium development
GO:0051079	meiosis I nuclear membrane disassembly
GO:0000905	sporocarp development involved in asexual reproduction
GO:0075255	teliospore formation
GO:0010071	root meristem specification
GO:0035803	egg coat formation
GO:0060832	oocyte animal/vegetal axis specification
GO:0010154	fruit development
GO:0034302	akinete formation
GO:0048316	seed development
GO:0042243	asexual spore wall assembly
GO:0043930	primary ovarian follicle growth involved in primary follicle stage
GO:0046546	development of primary male sexual characteristics
GO:0048461	flower structural organization
GO:0048315	conidium formation
GO:0035847	uterine epithelium development
GO:0007054	spindle assembly involved in male meiosis I
GO:0007538	primary sex determination
GO:0010093	specification of floral organ identity
GO:0007286	spermatid development
GO:0048624	plantlet formation on parent plant
GO:0035261	external genitalia morphogenesis
GO:0034304	actinomycete-type spore formation
GO:0001545	primary ovarian follicle growth
GO:0048463	carpel structural organization
GO:0010234	anther wall tapetum cell fate specification
GO:0045434	negative regulation of female receptivity, post-mating
GO:0007340	acrosome reaction
GO:0140013	meiotic nuclear division
GO:0060528	secretory columnal luminar epithelial cell differentiation involved in prostate glandular acinus development
GO:0042698	ovulation cycle
GO:0061988	karyosome formation
GO:0060745	mammary gland branching involved in pregnancy
GO:0034300	sporangiospore formation
GO:0048530	fruit morphogenesis
GO:0062120	LinE complex assembly
GO:1904968	positive regulation of spindle attachment to meiosis I kinetochore
GO:0061936	fusion of sperm to egg plasma membrane involved in double fertilization forming a zygote and endosperm
GO:0016321	female meiosis chromosome segregation
GO:1990068	seed dehydration
GO:0048446	petal morphogenesis
GO:0006279	premeiotic DNA replication
GO:0061983	meiosis II cell cycle process
GO:0075271	zygosporangium development
GO:0007281	germ cell development
GO:0010262	somatic embryogenesis
GO:0060524	dichotomous subdivision of prostate epithelial cord terminal unit
GO:0007287	Nebenkern assembly
GO:1902984	pre-replicative complex assembly involved in premeiotic DNA replication
GO:0048653	anther development
GO:0009554	megasporogenesis
GO:0051598	meiotic recombination checkpoint signaling
GO:0051755	meiotic sister chromatid arm separation
GO:0042699	follicle-stimulating hormone signaling pathway
GO:0010500	transmitting tissue development
GO:0060474	positive regulation of flagellated sperm motility involved in capacitation
GO:0060748	tertiary branching involved in mammary gland duct morphogenesis
GO:0046544	development of secondary male sexual characteristics
GO:0030715	oocyte growth in germarium-derived egg chamber
GO:0048158	oogonium stage
GO:0034298	arthrospore formation
GO:0045141	meiotic telomere clustering
GO:0042004	feminization of hermaphrodite soma
GO:0000711	meiotic DNA repair synthesis
GO:0048139	female germ-line cyst encapsulation
GO:0045433	male courtship behavior, veined wing generated song production
GO:0008071	maternal determination of dorsal/ventral axis, ovarian follicular epithelium, soma encoded
GO:0051308	male meiosis chromosome separation
GO:0075284	asexual sporulation resulting in formation of a multicellular or syncytial spore
GO:1990375	baculum development
GO:0035112	genitalia morphogenesis
GO:0071998	ascospore release from ascus
GO:0046843	dorsal appendage formation
GO:0070792	Hulle cell development
GO:0072520	seminiferous tubule development
GO:0048449	floral organ formation
GO:0048450	floral organ structural organization
GO:0019098	reproductive behavior
GO:0048601	oocyte morphogenesis
GO:0007111	meiosis II cytokinesis
