GOID	TERM
GO:0140723	patulin biosynthetic process
GO:0034409	ascospore wall (1->3)-beta-D-glucan metabolic process
GO:0002933	lipid hydroxylation
GO:1901786	p-cresol biosynthetic process
GO:0002440	production of molecular mediator of immune response
GO:0042816	vitamin B6 metabolic process
GO:0046170	methanol catabolic process
GO:0043170	macromolecule metabolic process
GO:0006014	D-ribose metabolic process
GO:0046053	dAMP metabolic process
GO:0019442	tryptophan catabolic process to acetyl-CoA
GO:0042452	deoxyguanosine biosynthetic process
GO:1990775	endothelin production
GO:0009777	photosynthetic phosphorylation
GO:0019632	shikimate metabolic process
GO:0051273	beta-glucan metabolic process
GO:0098792	xenophagy
GO:0019609	3-hydroxyphenylacetate metabolic process
GO:0036298	recombinational interstrand cross-link repair
GO:0006695	cholesterol biosynthetic process
GO:0009253	peptidoglycan catabolic process
GO:0141065	maternal mRNA clearance
GO:0032324	molybdopterin cofactor biosynthetic process
GO:0042358	thiamine diphosphate catabolic process
GO:0046213	methyl ethyl ketone catabolic process
GO:0072653	interferon-omega production
GO:0019472	4-hydroxyproline biosynthetic process
GO:0031118	rRNA pseudouridine synthesis
GO:0002777	antimicrobial peptide biosynthetic process
GO:0018973	trinitrotoluene metabolic process
GO:1901852	7,8-didemethyl-8-hydroxy-5-deazariboflavin biosynthetic process
GO:0018868	2-aminobenzenesulfonate metabolic process
GO:0120258	peptidyl-threonine O-acetylation
GO:0009134	nucleoside diphosphate catabolic process
GO:0006112	energy reserve metabolic process
GO:0030201	heparan sulfate proteoglycan metabolic process
GO:0006218	uridine catabolic process
GO:0046081	dUTP catabolic process
GO:0033053	D-glutamine metabolic process
GO:0043039	tRNA aminoacylation
GO:0001561	fatty acid alpha-oxidation
GO:0010239	chloroplast mRNA processing
GO:0045487	gibberellin catabolic process
GO:0090615	mitochondrial mRNA processing
GO:0000725	recombinational repair
GO:0042791	5S class rRNA transcription by RNA polymerase III
GO:0019680	L-methylmalonyl-CoA biosynthetic process
GO:0042355	L-fucose catabolic process
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0020027	hemoglobin metabolic process
GO:0018190	protein octanoylation
GO:0036184	asperthecin biosynthetic process
GO:1901009	(S)-scoulerine biosynthetic process
GO:0034037	purine ribonucleoside bisphosphate catabolic process
GO:0050650	chondroitin sulfate proteoglycan biosynthetic process
GO:0046134	pyrimidine nucleoside biosynthetic process
GO:0044206	UMP salvage
GO:0018027	peptidyl-lysine dimethylation
GO:1902928	inulin biosynthetic process
GO:0019273	L-alanine biosynthetic process via ornithine
GO:0140909	kinetoplast DNA replication
GO:0042262	DNA protection
