GOID	TERM
GO:0045058	T cell selection
GO:0141084	inflammasome-mediated signaling pathway
GO:0002340	central B cell selection
GO:0002440	production of molecular mediator of immune response
GO:0002565	somatic diversification of immune receptors via gene conversion
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide
GO:0002509	central tolerance induction to self antigen
GO:0035944	perforin production
GO:0016447	somatic recombination of immunoglobulin gene segments
GO:0002202	somatic diversification of variable lymphocyte receptors of jawless fish
GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent
GO:0002445	type II hypersensitivity
GO:0140426	pathogen-associated molecular pattern receptor signaling pathway
GO:0002269	leukocyte activation involved in inflammatory response
GO:0072672	neutrophil extravasation
GO:0035742	activated CD8-positive, alpha-beta T cell proliferation
GO:0002482	antigen processing and presentation of exogenous protein antigen via MHC class Ib, TAP-independent
GO:0002259	endothelial cell activation within high endothelial venule involved in immune response
GO:0035687	T-helper 1 cell extravasation
GO:0002334	transitional two stage B cell differentiation
GO:0045575	basophil activation
GO:0035711	T-helper 1 cell activation
GO:0002206	gene conversion of immunoglobulin genes
GO:0033078	extrathymic T cell differentiation
GO:0002449	lymphocyte mediated immunity
GO:0002466	peripheral tolerance induction to self antigen
GO:0002746	antigen processing and presentation following pinocytosis
GO:0002299	alpha-beta intraepithelial T cell differentiation
GO:0002222	stimulatory killer cell immunoglobulin-like receptor signaling pathway
GO:0036230	granulocyte activation
GO:0002338	B-1b B cell differentiation
GO:0043029	T cell homeostasis
GO:0001865	NK T cell differentiation
GO:0035696	monocyte extravasation
GO:0002253	activation of immune response
GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway
GO:0002508	central tolerance induction
GO:0071621	granulocyte chemotaxis
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway
GO:0002510	central B cell tolerance induction
GO:0046649	lymphocyte activation
GO:0002551	mast cell chemotaxis
GO:0035010	encapsulation of foreign target
GO:0002485	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-dependent
GO:0002408	myeloid dendritic cell chemotaxis
GO:0001774	microglial cell activation
GO:0002220	innate immune response activating cell surface receptor signaling pathway
GO:0097531	mast cell migration
GO:0090721	primary adaptive immune response involving T cells and B cells
GO:0042492	gamma-delta T cell differentiation
GO:0019884	antigen processing and presentation of exogenous antigen
GO:0002284	myeloid dendritic cell differentiation involved in immune response
GO:0042688	crystal cell differentiation
GO:0061470	T follicular helper cell differentiation
GO:1990959	eosinophil homeostasis
GO:0002294	CD4-positive, alpha-beta T cell differentiation involved in immune response
GO:0002471	monocyte antigen processing and presentation
GO:0042387	plasmatocyte differentiation
GO:0002323	natural killer cell activation involved in immune response
GO:0002277	myeloid dendritic cell activation involved in immune response
