GOID	TERM
GO:0038017	Wnt receptor internalization
GO:0045450	bicoid mRNA localization
GO:0015903	fluconazole transport
GO:0051759	sister chromosome movement towards spindle pole involved in meiotic sister chromatid segregation
GO:0007316	pole plasm RNA localization
GO:1903292	protein localization to Golgi membrane
GO:0046963	3'-phosphoadenosine 5'-phosphosulfate transport
GO:1902575	protein localization to cell division site involved in cytokinesis, actomyosin contractile ring assembly
GO:0050788	sequestering of mercury
GO:1904160	protein localization to chloroplast starch grain
GO:0042956	maltodextrin transmembrane transport
GO:1904107	protein localization to microvillus membrane
GO:0072666	establishment of protein localization to vacuole
GO:0071716	leukotriene transport
GO:0015791	polyol transmembrane transport
GO:0098841	protein localization to cell division site after cytokinesis
GO:0031204	post-translational protein targeting to membrane, translocation
GO:0044382	CLRC complex localization to heterochromatin
GO:0047497	mitochondrion transport along microtubule
GO:0070327	thyroid hormone transport
GO:0061529	epinephrine secretion, neurotransmission
GO:0045051	protein insertion into ER membrane by internal uncleaved signal-anchor sequence
GO:1990575	mitochondrial L-ornithine transmembrane transport
GO:0150105	protein localization to cell-cell junction
GO:0006886	intracellular protein transport
GO:0033156	oligogalacturonide transport
GO:0051652	maintenance of chromosome location
GO:0072657	protein localization to membrane
GO:0001696	gastric acid secretion
GO:0140484	5-aminolevulinic acid import across plasma membrane
GO:0170048	D-alanine import across plasma membrane
GO:1905647	proline import across plasma membrane
GO:0032979	protein insertion into mitochondrial inner membrane from matrix
GO:0072489	methylammonium transmembrane transport
GO:0015709	thiosulfate transport
GO:0030157	pancreatic juice secretion
GO:0045053	protein retention in Golgi apparatus
GO:0015762	rhamnose transmembrane transport
GO:0035653	clathrin-coated vesicle cargo loading, AP-1-mediated
GO:0120029	proton export across plasma membrane
GO:0015715	nucleotide-sulfate transport
GO:0098545	maintenance of protein complex location in cytoplasm
GO:0120229	protein localization to motile cilium
GO:0010233	phloem transport
GO:0015869	protein-DNA complex transport
GO:0061670	evoked neurotransmitter secretion
GO:0035192	nuclear cortical migration
GO:0006863	purine nucleobase transport
GO:0089707	L-lysine transmembrane export from vacuole
GO:0099087	anterograde axonal transport of messenger ribonucleoprotein complex
GO:0051659	maintenance of mitochondrion location
GO:0097116	gephyrin clustering involved in postsynaptic density assembly
GO:0072659	protein localization to plasma membrane
GO:1904447	folate import across plasma membrane
GO:0033571	lactoferrin transport
GO:0045184	establishment of protein localization
GO:1990767	prostaglandin receptor internalization
GO:0061817	endoplasmic reticulum-plasma membrane tethering
GO:0009914	hormone transport
GO:0002115	store-operated calcium entry
GO:0051648	vesicle localization
GO:0045056	transcytosis
GO:1990616	magnesium ion export from mitochondrion
GO:0160176	magnesium ion transport from cytosol to endoplasmic reticulum
GO:1901703	protein localization involved in auxin polar transport
GO:0036249	cadmium ion import into vacuole
GO:0015837	amine transport
GO:0008090	retrograde axonal transport
GO:0051470	ectoine transmembrane transport
GO:0070560	protein secretion by platelet
GO:0051236	establishment of RNA localization
GO:0019271	aerobactin transport
GO:0045016	mitochondrial magnesium ion transmembrane transport
GO:0097711	ciliary basal body-plasma membrane docking
GO:0089709	L-histidine transmembrane transport
GO:0048488	synaptic vesicle endocytosis
GO:0034755	iron ion transmembrane transport
GO:0061530	aspartate secretion, neurotransmission
GO:0016558	protein import into peroxisome matrix
GO:0006814	sodium ion transport
GO:0002552	serotonin secretion by mast cell
GO:0090538	peptide pheromone secretion
GO:1901482	L-lysine import into vacuole involved in cellular response to nitrogen starvation
GO:0048791	calcium ion-regulated exocytosis of neurotransmitter
GO:0032510	endosome to lysosome transport via multivesicular body sorting pathway
GO:0140141	mitochondrial potassium ion transmembrane transport
GO:0098939	dendritic transport of mitochondrion
GO:1904952	hydroxycinnamic acid transport
GO:0051028	mRNA transport
GO:1902604	p-aminobenzoyl-glutamate transmembrane transport
GO:1903785	L-valine transmembrane transport
GO:1990608	mitotic spindle pole body localization
GO:0097080	plasma membrane selenite transport
GO:0070633	transepithelial transport
GO:0140207	tripeptide import across plasma membrane
GO:0098935	dendritic transport
GO:1990048	anterograde neuronal dense core vesicle transport
GO:0070837	dehydroascorbic acid transport
GO:0046594	maintenance of pole plasm mRNA location
GO:1903120	protein localization to actin filament bundle
GO:0002557	histamine secretion by basophil
GO:0140201	urea import across plasma membrane
GO:0070625	zymogen granule exocytosis
GO:0042989	sequestering of actin monomers
GO:0015841	chromaffin granule amine transport
GO:1903791	uracil transmembrane transport
GO:0089704	L-glutamate transmembrane export from vacuole
GO:1903803	L-glutamine import across plasma membrane
GO:0070200	establishment of protein localization to telomere
GO:0072594	establishment of protein localization to organelle
GO:0051666	actin cortical patch localization
GO:0097623	potassium ion export across plasma membrane
GO:0045047	protein targeting to ER
GO:0016345	female meiotic chromosome movement towards spindle pole
GO:2001098	tetrasaccharide transport
GO:0015856	cytosine transport
GO:0098660	inorganic ion transmembrane transport
GO:0033366	protein localization to secretory granule
GO:2001142	nicotinate transport
GO:0051664	nuclear pore localization
GO:0042968	homoserine transport
GO:1901245	positive regulation of toll-like receptor 9 signaling pathway by B cell receptor internalization
GO:0098970	postsynaptic neurotransmitter receptor diffusion trapping
GO:0044873	lipoprotein localization to membrane
GO:0030252	growth hormone secretion
GO:0061462	protein localization to lysosome
GO:0140495	migracytosis
GO:0001766	membrane raft polarization
GO:0015866	ADP transport
GO:0042886	amide transport
GO:0051601	exocyst localization
GO:0034487	vacuolar amino acid transmembrane transport
GO:0015857	uracil transport
GO:0140329	lysophospholipid translocation
GO:0023003	nuclear migration to the embryo sac center
GO:0015919	peroxisomal membrane transport
GO:1990974	actin-dependent nuclear migration
GO:0035592	establishment of protein localization to extracellular region
GO:0006835	dicarboxylic acid transport
GO:0099123	somato-dendritic dopamine secretion
GO:0006403	RNA localization
GO:0097279	histamine secretion mediated by IgE immunoglobulin
GO:0042940	D-amino acid transport
GO:1990236	proteasome core complex import into nucleus
GO:0036444	calcium import into the mitochondrion
GO:0006820	monoatomic anion transport
GO:0060471	cortical granule exocytosis
GO:1990151	protein localization to cell tip
GO:1904981	maltose transmembrane transport
GO:0035646	endosome to melanosome transport
GO:0070972	protein localization to endoplasmic reticulum
GO:0015876	acetyl-CoA transport
GO:1902024	L-histidine transport
GO:0015737	galacturonate transmembrane transport
GO:0015675	nickel cation transport
GO:1990166	protein localization to site of double-strand break
GO:0072515	trehalose transport in response to desiccation
GO:0000743	nuclear migration involved in conjugation with cellular fusion
GO:0043952	protein transport by the Sec complex
GO:0036466	synaptic vesicle recycling via endosome
GO:0033299	secretion of lysosomal enzymes
GO:0061537	glycine secretion, neurotransmission
GO:1990550	mitochondrial alpha-ketoglutarate transmembrane transport
GO:1902025	nitrate import
GO:0070253	somatostatin secretion
GO:1901962	S-adenosyl-L-methionine transmembrane transport
GO:1990849	vacuolar localization
GO:0042939	tripeptide transport
GO:0036395	pancreatic amylase secretion
GO:1903075	pyridoxine import across plasma membrane
GO:0060096	serotonin secretion, neurotransmission
GO:0016344	meiotic chromosome movement towards spindle pole
GO:0141204	dipeptide transmembrane transport from lysosomal lumen to cytosol
GO:0006893	Golgi to plasma membrane transport
GO:0015851	nucleobase transport
GO:0015685	ferric-enterobactin import into cell
GO:0061577	calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0010496	intercellular transport
GO:2001102	hexasaccharide transport
GO:0062111	zinc ion import into organelle
GO:1903361	protein localization to basolateral plasma membrane
GO:0036181	protein localization to linear element
GO:1903405	protein localization to nuclear body
GO:0075513	caveolin-mediated endocytosis of virus by host cell
GO:0045018	retrograde transport, vacuole to Golgi
GO:1902418	(+)-abscisic acid D-glucopyranosyl ester transmembrane transport
GO:0098721	uracil import across plasma membrane
GO:2001092	arabinotriose transport
GO:0032527	protein exit from endoplasmic reticulum
GO:0072384	organelle transport along microtubule
GO:0015881	creatine transmembrane transport
GO:0062022	mitotic cohesin ssDNA (lagging strand) loading
GO:0099088	axonal transport of messenger ribonucleoprotein complex
GO:0033308	hydroxyectoine transmembrane transport
GO:0072583	clathrin-dependent endocytosis
GO:0015739	sialic acid transport
GO:1990456	mitochondrion-endoplasmic reticulum membrane tethering
GO:0089705	protein localization to outer membrane
GO:1903119	protein localization to actin cytoskeleton
GO:0006842	tricarboxylic acid transport
GO:1990747	pancreatic trypsinogen secretion
GO:0034394	protein localization to cell surface
GO:1905719	protein localization to perinuclear region of cytoplasm
GO:0034640	establishment of mitochondrion localization by microtubule attachment
GO:0098777	protein secretion by the type VIII secretion system
GO:0042915	group A colicin transport
GO:0015780	nucleotide-sugar transmembrane transport
GO:0070459	prolactin secretion
GO:0072664	maintenance of protein location in peroxisome
GO:0090676	calcium ion transmembrane transport via low voltage-gated calcium channel
GO:0035929	steroid hormone secretion
GO:0030473	nuclear migration along microtubule
GO:0042994	cytoplasmic sequestering of transcription factor
GO:0051651	maintenance of location in cell
GO:0010497	plasmodesmata-mediated intercellular transport
GO:0051645	Golgi localization
GO:0015689	molybdate ion transport
GO:0090561	nuclear migration during mitotic telophase
GO:0097112	gamma-aminobutyric acid receptor clustering
GO:0140300	serine import into mitochondrion
GO:0070508	cholesterol import
GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
GO:0071718	sodium-independent icosanoid transport
GO:0045054	constitutive secretory pathway
GO:0048227	plasma membrane to endosome transport
