GOID	TERM
GO:0060299	negative regulation of sarcomere organization
GO:1904495	negative regulation of substance P secretion, neurotransmission
GO:1904366	negative regulation of chemokinesis
GO:0110042	negative regulation of nematode pharynx morphogenesis
GO:0061855	negative regulation of neuroblast migration
GO:0060051	negative regulation of protein glycosylation
GO:0031577	spindle checkpoint signaling
GO:0120291	negative regulation of mitotic recombination-dependent replication fork processing
GO:0070240	negative regulation of activated T cell autonomous cell death
GO:0120236	negative regulation of post-translational protein targeting to membrane, translocation
GO:0002868	negative regulation of B cell deletion
GO:1904128	negative regulation of convergent extension involved in somitogenesis
GO:1905220	negative regulation of platelet formation
GO:0070571	negative regulation of neuron projection regeneration
GO:0002719	negative regulation of cytokine production involved in immune response
GO:1905246	negative regulation of aspartic-type peptidase activity
GO:0039534	negative regulation of MDA-5 signaling pathway
GO:0120265	negative regulation of chromosome attachment to the nuclear envelope
GO:0033242	negative regulation of amine catabolic process
GO:0032307	negative regulation of prostaglandin secretion
GO:1904376	negative regulation of protein localization to cell periphery
GO:0055019	negative regulation of cardiac muscle fiber development
GO:0140646	negative regulation of pre-B cell receptor expression
GO:2000783	negative regulation of establishment of cell polarity regulating cell shape
GO:0002599	negative regulation of antigen processing and presentation of lipid antigen via MHC class Ib
GO:0002638	negative regulation of immunoglobulin production
GO:0075250	negative regulation of aeciospore formation
GO:0035021	negative regulation of Rac protein signal transduction
GO:0090229	negative regulation of red or far-red light signaling pathway
GO:2000360	negative regulation of binding of sperm to zona pellucida
GO:1900395	negative regulation of kojic acid biosynthetic process
GO:0046001	negative regulation of preblastoderm mitotic cell cycle
GO:0051151	negative regulation of smooth muscle cell differentiation
GO:1905133	negative regulation of meiotic chromosome separation
GO:2000770	negative regulation of establishment or maintenance of cell polarity regulating cell shape
GO:2001045	negative regulation of integrin-mediated signaling pathway
GO:1902842	negative regulation of netrin-activated signaling pathway
GO:1905797	negative regulation of intraciliary anterograde transport
GO:0034136	negative regulation of toll-like receptor 2 signaling pathway
GO:1903019	negative regulation of glycoprotein metabolic process
GO:1902173	negative regulation of keratinocyte apoptotic process
GO:2000877	negative regulation of oligopeptide transport
GO:1904932	negative regulation of cartilage condensation
GO:0106089	negative regulation of cell adhesion involved in sprouting angiogenesis
GO:2000992	negative regulation of galactomannan catabolic process
GO:0034164	negative regulation of toll-like receptor 9 signaling pathway
GO:0044879	mitotic morphogenesis checkpoint signaling
GO:0098795	global gene silencing by mRNA cleavage
GO:0051589	negative regulation of neurotransmitter transport
GO:0010561	negative regulation of glycoprotein biosynthetic process
GO:1902344	negative regulation of maltose transport
GO:0045599	negative regulation of fat cell differentiation
GO:2000444	negative regulation of toll-like receptor 21 signaling pathway
GO:1902894	negative regulation of miRNA transcription
GO:1902647	negative regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process
GO:0002872	negative regulation of natural killer cell tolerance induction
GO:2000329	negative regulation of T-helper 17 cell lineage commitment
GO:0033122	negative regulation of purine nucleotide catabolic process
GO:0010423	negative regulation of brassinosteroid biosynthetic process
GO:1990074	polyuridylation-dependent mRNA catabolic process
GO:1900966	negative regulation of methanophenazine metabolic process
GO:0060280	negative regulation of ovulation
GO:1902059	negative regulation of sporocarp development involved in sexual reproduction
GO:0010748	negative regulation of long-chain fatty acid import across plasma membrane
GO:0032693	negative regulation of interleukin-10 production
GO:2000390	negative regulation of neutrophil extravasation
GO:0061076	negative regulation of neural retina development
GO:0141065	maternal mRNA clearance
GO:1904255	negative regulation of iron ion transmembrane transporter activity
GO:0048640	negative regulation of developmental growth
GO:1904145	negative regulation of meiotic cell cycle process involved in oocyte maturation
GO:0048521	negative regulation of behavior
GO:1903565	negative regulation of protein localization to cilium
GO:0048077	negative regulation of compound eye pigmentation
GO:1903645	negative regulation of chaperone-mediated protein folding
GO:0010637	negative regulation of mitochondrial fusion
GO:1903081	negative regulation of C-C chemokine receptor CCR7 signaling pathway
GO:0070624	negative regulation of thiamine biosynthetic process
GO:0045967	negative regulation of growth rate
GO:0045926	negative regulation of growth
GO:2000967	negative regulation of cell wall polysaccharide catabolic process
GO:0061067	negative regulation of dauer larval development
GO:0051617	negative regulation of histamine uptake
GO:1900045	negative regulation of protein K63-linked ubiquitination
GO:1905558	negative regulation of mitotic nuclear envelope disassembly
GO:0090281	negative regulation of calcium ion import
GO:1904286	negative regulation of protein-pyridoxal-5-phosphate linkage
GO:1900420	negative regulation of cellular alcohol catabolic process
GO:0031049	programmed DNA elimination
GO:2000459	negative regulation of astrocyte chemotaxis
