GOID	TERM
GO:0140723	patulin biosynthetic process
GO:0038017	Wnt receptor internalization
GO:0002933	lipid hydroxylation
GO:0045450	bicoid mRNA localization
GO:0002440	production of molecular mediator of immune response
GO:1990669	endoplasmic reticulum-Golgi intermediate compartment (ERGIC) derived vesicle fusion with endoplasmic reticulum membrane
GO:0150062	complement-mediated synapse pruning
GO:1904482	cellular response to tetrahydrofolate
GO:0071216	cellular response to biotic stimulus
GO:1902575	protein localization to cell division site involved in cytokinesis, actomyosin contractile ring assembly
GO:0001963	synaptic transmission, dopaminergic
GO:0043217	myelin maintenance
GO:1904107	protein localization to microvillus membrane
GO:0002334	transitional two stage B cell differentiation
GO:0015791	polyol transmembrane transport
GO:0046053	dAMP metabolic process
GO:0019442	tryptophan catabolic process to acetyl-CoA
GO:0047497	mitochondrion transport along microtubule
GO:0016036	cellular response to phosphate starvation
GO:0009777	photosynthetic phosphorylation
GO:0002573	myeloid leukocyte differentiation
GO:1990775	endothelin production
GO:0160156	secretory granule-lysosome fusion
GO:0019632	shikimate metabolic process
GO:0072689	MCM complex assembly
GO:0036230	granulocyte activation
GO:1905129	endocannabinoid signaling pathway involved in trans-synaptic signaling
GO:0098792	xenophagy
GO:0019609	3-hydroxyphenylacetate metabolic process
GO:0098886	modification of dendritic spine
GO:0009588	UV-A, blue light phototransduction
GO:0036298	recombinational interstrand cross-link repair
GO:0003368	cell-matrix adhesion involved in mesendodermal cell migration
GO:0034330	cell junction organization
GO:0030834	regulation of actin filament depolymerization
GO:2001266	Roundabout signaling pathway involved in axon guidance
GO:0031025	equatorial microtubule organizing center disassembly
GO:0007416	synapse assembly
GO:0106092	glial cell projection elongation involved in axon ensheathment
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway
GO:0032324	molybdopterin cofactor biosynthetic process
GO:0035990	tendon cell differentiation
GO:0042358	thiamine diphosphate catabolic process
GO:0046213	methyl ethyl ketone catabolic process
GO:0090112	COPII vesicle uncoating
GO:0072653	interferon-omega production
GO:0019472	4-hydroxyproline biosynthetic process
GO:0045053	protein retention in Golgi apparatus
GO:0015762	rhamnose transmembrane transport
GO:0008637	apoptotic mitochondrial changes
GO:0098545	maintenance of protein complex location in cytoplasm
GO:0055047	generative cell mitosis
GO:0086042	cardiac muscle cell-cardiac muscle cell adhesion
GO:0038161	prolactin signaling pathway
GO:0018868	2-aminobenzenesulfonate metabolic process
GO:0006112	energy reserve metabolic process
GO:0009134	nucleoside diphosphate catabolic process
GO:0033053	D-glutamine metabolic process
GO:0046081	dUTP catabolic process
GO:1990114	RNA polymerase II core complex assembly
GO:0089707	L-lysine transmembrane export from vacuole
GO:0051659	maintenance of mitochondrion location
GO:0001561	fatty acid alpha-oxidation
GO:0022033	telencephalon microglial cell migration
GO:0045487	gibberellin catabolic process
GO:0060673	cell-cell signaling involved in placenta development
GO:0060183	apelin receptor signaling pathway
GO:0000725	recombinational repair
GO:0090615	mitochondrial mRNA processing
GO:1902445	regulation of mitochondrial membrane permeability involved in programmed necrotic cell death
GO:0060664	epithelial cell proliferation involved in salivary gland morphogenesis
GO:0098942	retrograde trans-synaptic signaling by trans-synaptic protein complex
GO:0042791	5S class rRNA transcription by RNA polymerase III
GO:1904447	folate import across plasma membrane
GO:0033571	lactoferrin transport
GO:0019680	L-methylmalonyl-CoA biosynthetic process
GO:0003274	endocardial cushion fusion
GO:1990767	prostaglandin receptor internalization
GO:0031038	myosin II filament organization
GO:0002363	alpha-beta T cell lineage commitment
GO:0042693	muscle cell fate commitment
GO:0001830	trophectodermal cell fate commitment
GO:0016024	CDP-diacylglycerol biosynthetic process
GO:0034976	response to endoplasmic reticulum stress
GO:0036184	asperthecin biosynthetic process
GO:0071588	hydrogen peroxide mediated signaling pathway
GO:0034037	purine ribonucleoside bisphosphate catabolic process
GO:0072685	Mre11 complex assembly
GO:0007093	mitotic cell cycle checkpoint signaling
GO:0050650	chondroitin sulfate proteoglycan biosynthetic process
GO:0061104	adrenal chromaffin cell differentiation
GO:1904968	positive regulation of spindle attachment to meiosis I kinetochore
GO:0071786	endoplasmic reticulum tubular network organization
GO:0045056	transcytosis
GO:1901703	protein localization involved in auxin polar transport
GO:1990810	microtubule anchoring at mitotic spindle pole body
GO:0044206	UMP salvage
GO:0060957	endocardial cell fate commitment
GO:0070560	protein secretion by platelet
GO:0072143	mesangial cell development
GO:0072564	blood microparticle formation
GO:0150147	cell-cell junction disassembly
GO:1990138	neuron projection extension
GO:1902928	inulin biosynthetic process
GO:0019273	L-alanine biosynthetic process via ornithine
GO:0042262	DNA protection
GO:0019589	anaerobic glycerol catabolic process to propane-1,3-diol
GO:0031024	interphase microtubule organizing center assembly
GO:0080147	root hair cell development
GO:0018283	iron incorporation into metallo-sulfur cluster
GO:0016320	endoplasmic reticulum membrane fusion
GO:0033322	homomethionine biosynthetic process
GO:0016558	protein import into peroxisome matrix
GO:0000711	meiotic DNA repair synthesis
GO:0021531	spinal cord radial glial cell differentiation
GO:0141082	symbiont-mediated detoxification of host-generated reactive oxygen species
GO:0086064	cell communication by electrical coupling involved in cardiac conduction
GO:0097468	programmed cell death in response to reactive oxygen species
GO:0019545	arginine catabolic process to succinate
GO:0140141	mitochondrial potassium ion transmembrane transport
GO:0018906	methyl tert-butyl ether metabolic process
GO:1903577	cellular response to L-arginine
GO:0021971	corticospinal neuron axon guidance through the medullary pyramid
GO:0043711	pilus organization
GO:0061443	endocardial cushion cell differentiation
GO:1990608	mitotic spindle pole body localization
GO:0044467	glial cell-derived neurotrophic factor production
GO:0034412	ascospore wall beta-glucan biosynthetic process
GO:0021856	hypothalamic tangential migration using cell-axon interactions
GO:0015014	heparan sulfate proteoglycan biosynthetic process, polysaccharide chain biosynthetic process
GO:0097175	1,6-anhydro-N-acetyl-beta-muramic acid catabolic process
GO:0006191	deoxyinosine salvage
GO:0140207	tripeptide import across plasma membrane
GO:1901911	adenosine 5'-(hexahydrogen pentaphosphate) catabolic process
GO:0002557	histamine secretion by basophil
GO:0036090	cleavage furrow ingression
GO:0003431	growth plate cartilage chondrocyte development
GO:0042461	photoreceptor cell development
GO:0006638	neutral lipid metabolic process
GO:0035747	natural killer cell chemotaxis
GO:0070126	mitochondrial translational termination
GO:0022617	extracellular matrix disassembly
GO:0043103	hypoxanthine salvage
GO:0090617	mitochondrial mRNA 5'-end processing
GO:0090126	protein-containing complex assembly involved in synapse maturation
GO:0035317	imaginal disc-derived wing hair organization
GO:0019267	asparagine biosynthetic process from cysteine
GO:0006776	vitamin A metabolic process
GO:0048600	oocyte fate commitment
GO:0010230	alternative respiration
GO:0098660	inorganic ion transmembrane transport
GO:0032613	interleukin-10 production
GO:0007213	G protein-coupled acetylcholine receptor signaling pathway
GO:0016103	diterpenoid catabolic process
GO:0021711	cerebellar unipolar brush cell differentiation
GO:0007094	mitotic spindle assembly checkpoint signaling
GO:0071800	podosome assembly
GO:1901777	mitomycin C biosynthetic process
GO:0060958	endocardial cell development
GO:0061462	protein localization to lysosome
GO:0060912	cardiac cell fate specification
GO:0030252	growth hormone secretion
GO:0006760	folic acid-containing compound metabolic process
GO:0140495	migracytosis
GO:0090495	low-density lipoprotein particle disassembly
GO:0046900	tetrahydrofolylpolyglutamate metabolic process
GO:1904936	interneuron migration
GO:0070415	trehalose metabolism in response to cold stress
GO:0150091	multiple spine synapse organization, multiple dendrites
GO:0010796	regulation of multivesicular body size
GO:0010742	macrophage derived foam cell differentiation
GO:0003413	chondrocyte differentiation involved in endochondral bone morphogenesis
GO:0009139	pyrimidine nucleoside diphosphate biosynthetic process
GO:0044725	epigenetic programming in the zygotic pronuclei
GO:0021540	corpus callosum morphogenesis
GO:0072318	clathrin coat disassembly
GO:0072312	metanephric glomerular epithelial cell differentiation
GO:0065004	protein-DNA complex assembly
GO:0140877	mevastatin biosynthetic process
GO:0046249	alpha-pinene catabolic process
GO:0021947	outward migration of deep nuclear neurons
GO:0009047	dosage compensation by hyperactivation of X chromosome
GO:0002042	cell migration involved in sprouting angiogenesis
GO:0006578	amino-acid betaine biosynthetic process
GO:0002233	leukocyte chemotaxis involved in immune response
GO:0035592	establishment of protein localization to extracellular region
GO:0071395	cellular response to jasmonic acid stimulus
GO:0002070	epithelial cell maturation
GO:0052708	N-alpha,N-alpha,N-alpha-trimethyl-L-histidine metabolic process
GO:0007405	neuroblast proliferation
GO:0045464	R8 cell fate specification
GO:1901364	funalenone metabolic process
GO:0002154	thyroid hormone receptor signaling pathway
GO:0070899	mitochondrial tRNA wobble uridine modification
GO:0072263	metanephric intraglomerular mesangial cell proliferation
GO:0036499	PERK-mediated unfolded protein response
GO:0070972	protein localization to endoplasmic reticulum
GO:0043617	cellular response to sucrose starvation
GO:0044771	meiotic cell cycle phase transition
GO:0032581	ER-dependent peroxisome organization
GO:0010197	polar nucleus fusion
GO:0006240	dCDP biosynthetic process
GO:0001771	immunological synapse formation
GO:0009165	nucleotide biosynthetic process
GO:0033359	lysine biosynthetic process via diaminopimelate and N-succinyl-2-amino-6-ketopimelate
GO:0046216	indole phytoalexin catabolic process
GO:0038111	interleukin-7-mediated signaling pathway
GO:0048869	cellular developmental process
GO:0070789	metula development
GO:0044208	'de novo' AMP biosynthetic process
GO:0043952	protein transport by the Sec complex
GO:0097705	vascular endothelial cell response to pulsatile fluid shear stress
GO:1900872	pentadec-1-ene metabolic process
GO:0042838	D-glucarate catabolic process
GO:0060946	cardiac blood vessel endothelial cell differentiation
GO:0035053	dorsal vessel heart proper cell fate commitment
GO:0072759	cellular response to topoisomerase inhibitor
GO:0006683	galactosylceramide catabolic process
GO:0071269	L-homocysteine biosynthetic process
GO:0034627	'de novo' NAD biosynthetic process
GO:0070253	somatostatin secretion
GO:0072736	cellular response to tert-butyl hydroperoxide
GO:0001764	neuron migration
GO:0007344	pronuclear fusion
GO:0038060	nitric oxide-cGMP-mediated signaling
GO:0007004	telomere maintenance via telomerase
GO:1905372	ceramide phosphoethanolamine catabolic process
GO:0036395	pancreatic amylase secretion
GO:0019264	glycine biosynthetic process from serine
GO:0016344	meiotic chromosome movement towards spindle pole
GO:0061111	epithelial-mesenchymal cell signaling involved in lung development
GO:0051210	isotropic cell growth
GO:0061577	calcium ion transmembrane transport via high voltage-gated calcium channel
GO:0043448	alkane catabolic process
GO:0019558	L-histidine catabolic process to 2-oxoglutarate
GO:0014813	skeletal muscle satellite cell commitment
GO:0010496	intercellular transport
GO:1901759	beta-L-Ara4N-lipid A metabolic process
GO:0000045	autophagosome assembly
GO:0001575	globoside metabolic process
GO:0072753	cellular response to glutathione
GO:0150023	apical dendrite arborization
GO:0071365	cellular response to auxin stimulus
GO:0060221	retinal rod cell differentiation
GO:0098977	inhibitory chemical synaptic transmission
GO:0021873	forebrain neuroblast division
GO:0009243	O antigen biosynthetic process
GO:1903405	protein localization to nuclear body
GO:0036146	cellular response to mycotoxin
GO:0019379	sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin)
GO:1905430	cellular response to glycine
GO:0038114	interleukin-21-mediated signaling pathway
GO:1904314	cellular response to methamphetamine hydrochloride
GO:1990502	dense core granule maturation
GO:1904745	Atg1/ULK1 kinase complex assembly
GO:0071242	cellular response to ammonium ion
GO:0045018	retrograde transport, vacuole to Golgi
GO:0039014	cell differentiation involved in pronephros development
GO:0098721	uracil import across plasma membrane
GO:0072204	cell-cell signaling involved in metanephros development
GO:0001896	autolysis
GO:0006489	dolichyl diphosphate biosynthetic process
GO:0072583	clathrin-dependent endocytosis
GO:0033308	hydroxyectoine transmembrane transport
GO:0061805	mitotic spindle elongation (spindle phase three)
GO:0043693	monoterpene biosynthetic process
GO:0009851	auxin biosynthetic process
GO:0030420	establishment of competence for transformation
GO:0071498	cellular response to fluid shear stress
GO:0141209	oxysterol receptor signaling pathway
GO:0032625	interleukin-21 production
GO:0051298	centrosome duplication
GO:0006413	translational initiation
GO:0060158	phospholipase C-activating dopamine receptor signaling pathway
GO:0140719	constitutive heterochromatin formation
GO:0046311	prenylcysteine biosynthetic process
GO:0008078	mesodermal cell migration
GO:0086068	Purkinje myocyte to ventricular cardiac muscle cell communication
GO:0034088	maintenance of mitotic sister chromatid cohesion
GO:0071386	cellular response to corticosterone stimulus
GO:0098529	neuromuscular junction development, skeletal muscle fiber
GO:0035780	CD80 biosynthetic process
GO:0002044	blood vessel endothelial cell migration involved in intussusceptive angiogenesis
GO:0015780	nucleotide-sugar transmembrane transport
GO:0019337	tetrachloroethylene catabolic process
GO:0048008	platelet-derived growth factor receptor signaling pathway
GO:0045467	R7 cell development
GO:0016108	tetraterpenoid metabolic process
GO:0007409	axonogenesis
GO:0035929	steroid hormone secretion
GO:0051651	maintenance of location in cell
GO:0010497	plasmodesmata-mediated intercellular transport
GO:0048357	pedicel mucilage biosynthetic process
GO:0086065	cell communication involved in cardiac conduction
GO:1902057	(25S)-Delta(4)-dafachronate metabolic process
GO:2001304	lipoxin B4 metabolic process
GO:0006223	uracil salvage
GO:0001836	release of cytochrome c from mitochondria
GO:0019286	glycine betaine biosynthetic process from glycine
GO:0019578	aldaric acid biosynthetic process
GO:0071210	protein insertion into membrane raft
GO:0008218	bioluminescence
GO:0046490	isopentenyl diphosphate metabolic process
GO:1901790	3-(2,3-dihydroxyphenyl)propanoate metabolic process
GO:1900161	regulation of phospholipid scramblase activity
GO:0019365	pyridine nucleotide salvage
GO:0032598	B cell receptor transport into immunological synapse
GO:0072565	endothelial microparticle formation
GO:0019450	L-cysteine catabolic process to pyruvate
GO:0052324	plant-type cell wall cellulose biosynthetic process
GO:0042250	maintenance of polarity of embryonic epithelium
GO:0044804	nucleophagy
GO:0048927	posterior lateral line neuromast support cell differentiation
GO:0071392	cellular response to estradiol stimulus
GO:1904868	telomerase catalytic core complex assembly
GO:1903351	cellular response to dopamine
GO:0033661	effector-mediated defense to host-produced reactive oxygen species
GO:0110100	spindle pole body separation
GO:0034067	protein localization to Golgi apparatus
GO:0080169	cellular response to boron-containing substance deprivation
GO:0034219	carbohydrate transmembrane transport
GO:0000972	transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery
GO:0099500	vesicle fusion to plasma membrane
GO:0002288	NK T cell activation involved in immune response
GO:0006572	tyrosine catabolic process
GO:0071244	cellular response to carbon dioxide
GO:0033209	tumor necrosis factor-mediated signaling pathway
GO:1901772	lincomycin metabolic process
GO:0019504	L-proline betaine catabolic process
GO:0019480	L-alanine oxidation to pyruvate via D-alanine
GO:0006921	cellular component disassembly involved in execution phase of apoptosis
GO:0046467	membrane lipid biosynthetic process
GO:0140872	viridicatumtoxin biosynthetic process
GO:0007171	activation of transmembrane receptor protein tyrosine kinase activity
GO:0001195	maintenance of transcriptional fidelity during transcription elongation by RNA polymerase III
GO:0010705	meiotic DNA double-strand break processing involved in reciprocal meiotic recombination
GO:0046182	L-idonate biosynthetic process
GO:0033352	UDP-D-apiose biosynthetic process
GO:0038171	cannabinoid signaling pathway
GO:0048054	R2/R5 cell differentiation
GO:0061541	rhabdomere morphogenesis
GO:0120308	axonemal outer doublet assembly
GO:0033355	ascorbate glutathione cycle
GO:0080171	lytic vacuole organization
GO:0097688	glutamate receptor clustering
GO:1905135	biotin import across plasma membrane
GO:0009107	lipoate biosynthetic process
GO:0035154	terminal cell fate specification, open tracheal system
GO:0007285	primary spermatocyte growth
GO:0061502	early endosome to recycling endosome transport
GO:0002366	leukocyte activation involved in immune response
GO:0021965	spinal cord ventral commissure morphogenesis
GO:0061230	mesonephric juxtaglomerulus cell fate commitment
GO:0010118	stomatal movement
GO:0045465	R8 cell differentiation
GO:0035249	synaptic transmission, glutamatergic
GO:0070753	interleukin-35 production
GO:0090453	aspartate transmembrane import into vacuole
GO:0019395	fatty acid oxidation
GO:0019523	L-idonate metabolic process
GO:0035790	platelet-derived growth factor receptor-alpha signaling pathway
GO:0010994	free ubiquitin chain polymerization
GO:0072711	cellular response to hydroxyurea
GO:0019802	cyclization of glutamine involved in intein-mediated protein splicing
GO:0034551	mitochondrial respiratory chain complex III assembly
GO:0038130	ERBB4 signaling pathway
GO:0019377	glycolipid catabolic process
GO:0097171	ADP-L-glycero-beta-D-manno-heptose biosynthetic process
GO:0033617	mitochondrial cytochrome c oxidase assembly
GO:1902497	iron-sulfur cluster transmembrane transport
GO:0010198	synergid death
GO:0060945	cardiac neuron differentiation
GO:0070836	caveola assembly
GO:0060637	positive regulation of lactation by mesenchymal-epithelial cell signaling
GO:0036258	multivesicular body assembly
GO:0046854	phosphatidylinositol phosphate biosynthetic process
GO:0015882	L-ascorbic acid transmembrane transport
GO:0097722	sperm motility
GO:0099010	modification of postsynaptic structure
GO:0071213	cellular response to 1-aminocyclopropane-1-carboxylic acid
GO:0141124	intracellular signaling cassette
GO:0007058	spindle assembly involved in female meiosis II
GO:0033394	beta-alanine biosynthetic process via 1,3 diaminopropane
GO:0048235	pollen sperm cell differentiation
GO:0075226	encysted zoospore germination
GO:0031412	gas vesicle organization
GO:0039684	rolling circle single-stranded viral DNA replication
GO:0046077	dUDP metabolic process
GO:0071425	hematopoietic stem cell proliferation
GO:0021897	forebrain astrocyte development
GO:0110141	L-glutamate import into mitochondrion
GO:0035967	cellular response to topologically incorrect protein
GO:0099637	neurotransmitter receptor transport
GO:0019292	L-tyrosine biosynthetic process from chorismate via 4-hydroxyphenylpyruvate
GO:0110072	apical constriction involved in ventral furrow formation
GO:1901935	beta-caryophyllene metabolic process
GO:0009156	ribonucleoside monophosphate biosynthetic process
GO:0035743	CD4-positive, alpha-beta T cell cytokine production
GO:0030989	dynein-driven meiotic oscillatory nuclear movement
GO:0097579	extracellular sequestering of copper ion
GO:0038119	CCL19-activated CCR7 signaling pathway
GO:0051763	sesquiterpene catabolic process
GO:0033611	oxalate catabolic process
GO:0031534	minus-end directed microtubule sliding
GO:1900881	18-methylnonadec-1-ene biosynthetic process
GO:0014047	glutamate secretion
GO:0042070	maintenance of oocyte nucleus location involved in oocyte dorsal/ventral axis specification
GO:1901833	all-trans-neoxanthin biosynthetic process
GO:0015938	coenzyme A catabolic process
GO:0003255	endocardial precursor cell differentiation
GO:0019255	glucose 1-phosphate metabolic process
GO:1903964	monounsaturated fatty acid metabolic process
GO:0006180	deoxyguanosine salvage
GO:0071434	cell chemotaxis to angiotensin
GO:0086067	AV node cell to bundle of His cell communication
GO:1902334	fructose export from vacuole to cytoplasm
GO:0140874	paraherquonin biosynthetic process
GO:0019619	3,4-dihydroxybenzoate catabolic process
GO:0098709	glutathione import across plasma membrane
GO:0015738	glucuronate transmembrane transport
GO:0006190	inosine salvage
GO:0015973	guanosine pentaphosphate biosynthetic process
GO:0019436	sophorosyloxydocosanoate catabolic process
GO:0035088	establishment or maintenance of apical/basal cell polarity
GO:0048669	collateral sprouting in absence of injury
GO:0060497	mesenchymal-endodermal cell signaling
GO:0019580	galactarate metabolic process
GO:0099173	postsynapse organization
GO:0016122	xanthophyll metabolic process
GO:0061528	aspartate secretion
GO:1900534	palmitic acid catabolic process
GO:0060215	primitive hemopoiesis
GO:0008153	para-aminobenzoic acid biosynthetic process
GO:1902189	2-methylbutanoyl-CoA(4-) metabolic process
GO:0033544	fatty acid beta-oxidation, unsaturated, even number, epimerase pathway
GO:1990491	methane biosynthetic process from methanol and hydrogen
GO:0071525	pyrrolysine metabolic process
GO:0019272	L-alanine biosynthetic process from pyruvate
GO:0033345	asparagine catabolic process via L-aspartate
GO:1901118	cephamycin C biosynthetic process
GO:0007252	I-kappaB phosphorylation
GO:0001514	selenocysteine incorporation
GO:0140528	bilobe structure assembly
GO:0006242	dCTP biosynthetic process
GO:0007268	chemical synaptic transmission
GO:0090403	oxidative stress-induced premature senescence
GO:1904555	L-proline transmembrane transport
GO:0060012	synaptic transmission, glycinergic
GO:0001913	T cell mediated cytotoxicity
GO:0099638	endosome to plasma membrane protein transport
GO:1904637	cellular response to ionomycin
GO:0015969	guanosine tetraphosphate metabolic process
GO:0045168	cell-cell signaling involved in cell fate commitment
GO:0071562	nucleus-vacuole junction assembly
GO:0003430	growth plate cartilage chondrocyte growth
GO:0097155	fasciculation of sensory neuron axon
GO:0060927	cardiac pacemaker cell fate commitment
GO:0006311	meiotic gene conversion
