GOID	TERM
GO:0009879	determination of radial symmetry
GO:0022410	circadian sleep/wake cycle process
GO:0032620	interleukin-17 production
GO:0007320	insemination
GO:0001967	suckling behavior
GO:0002269	leukocyte activation involved in inflammatory response
GO:0007631	feeding behavior
GO:0014849	ureter smooth muscle contraction
GO:0002334	transitional two stage B cell differentiation
GO:0001894	tissue homeostasis
GO:0010305	leaf vascular tissue pattern formation
GO:1990775	endothelin production
GO:0007350	blastoderm segmentation
GO:0098856	intestinal lipid absorption
GO:0036230	granulocyte activation
GO:0048528	post-embryonic root development
GO:0001696	gastric acid secretion
GO:0014899	cardiac muscle atrophy
GO:0010031	circumnutation
GO:0046009	positive regulation of female receptivity, post-mating
GO:0007433	larval salivary gland boundary specification
GO:0007389	pattern specification process
GO:0072566	chemokine (C-X-C motif) ligand 1 production
GO:0030157	pancreatic juice secretion
GO:0072653	interferon-omega production
GO:0014832	urinary bladder smooth muscle contraction
GO:0002284	myeloid dendritic cell differentiation involved in immune response
GO:0019230	proprioception
GO:0010233	phloem transport
GO:0048316	seed development
GO:0071063	sensory perception of wind
GO:0035469	determination of pancreatic left/right asymmetry
GO:0001992	regulation of systemic arterial blood pressure by vasopressin
GO:0071608	macrophage inflammatory protein-1 alpha production
GO:0080006	internode patterning
GO:0002277	myeloid dendritic cell activation involved in immune response
GO:0050917	sensory perception of umami taste
GO:0010311	lateral root formation
GO:0002313	mature B cell differentiation involved in immune response
GO:0007448	anterior/posterior pattern specification, imaginal disc
GO:0003300	cardiac muscle hypertrophy
GO:0045056	transcytosis
GO:0048099	anterior/posterior lineage restriction, imaginal disc
GO:1905605	positive regulation of blood-brain barrier permeability
GO:0010074	maintenance of meristem identity
GO:0048623	seed germination on parent plant
GO:0072633	interleukin-30 production
GO:0042110	T cell activation
GO:0045433	male courtship behavior, veined wing generated song production
GO:0010022	meristem determinacy
GO:0003098	tubuloglomerular feedback
GO:0097009	energy homeostasis
GO:1990058	fruit replum development
GO:0031424	keratinization
GO:0019231	perception of static position
GO:0044467	glial cell-derived neurotrophic factor production
GO:1904155	DN2 thymocyte differentiation
GO:1990765	colon smooth muscle contraction
GO:0071892	thrombocyte activation
GO:0036074	metaplastic ossification
GO:0002121	inter-male aggressive behavior
GO:0060289	compartment boundary maintenance
GO:0071829	plasma lipoprotein particle disassembly
GO:0035290	trunk segmentation
GO:0030432	peristalsis
GO:0071706	tumor necrosis factor superfamily cytokine production
GO:0034380	high-density lipoprotein particle assembly
GO:0035160	maintenance of epithelial integrity, open tracheal system
GO:0007620	copulation
GO:0035181	larval burrowing behavior
GO:0021797	forebrain anterior/posterior pattern specification
GO:0035018	adult chitin-based cuticle pattern formation
GO:0060047	heart contraction
GO:0001923	B-1 B cell differentiation
GO:0097150	neuronal stem cell population maintenance
GO:0032613	interleukin-10 production
GO:0002324	natural killer cell proliferation involved in immune response
GO:0007428	primary branching, open tracheal system
GO:0042395	ecdysis, collagen and cuticulin-based cuticle
GO:0060419	heart growth
GO:0035309	wing and notum subfield formation
GO:0021871	forebrain regionalization
GO:0090495	low-density lipoprotein particle disassembly
GO:0060757	adult foraging behavior
GO:0010085	polarity specification of proximal/distal axis
GO:0050891	multicellular organismal-level water homeostasis
GO:0007343	egg activation
GO:0046959	habituation
GO:0090727	positive regulation of brood size
GO:0003028	regulation of systemic arterial blood pressure by aortic body chemoreceptor signaling
GO:0035288	anterior head segmentation
GO:0001700	embryonic development via the syncytial blastoderm
GO:0032636	interleukin-7 production
GO:0039003	pronephric field specification
GO:0008346	larval walking behavior
