GO Term,LL, shape, scale, misid, Converged,GO Term Name,shape uncertainty,scale uncertainty,misid uncertainty
9987.0,-4817.612,0.343,471.547,0.021, no,Cellular Process,7.25422853,41125.0822,0.130117423
65007.0,-4759.624,0.356,514.651,0.024, no,Biological Regulation,0.748774,2325.26784,0.0238621096
50789.0,-4749.883,0.349,570.805,0.022, no,Regulation of Biological Process,1.10464723,39.0509587,0.0309365714
8152.0,-4251.094,0.471,579.518,0.028, no,Metabolic Process,1.2493218,6135.08972,0.0431191182
48518.0,-4324.144,0.489,610.78,0.025, no,Positive Regulation,1.05677678,8781.49053,0.044057047
32502.0,-4185.45,0.502,638.133,0.027, no,Developmental Process,1.65584683,7791.93326,0.0553624983
50896.0,-4385.462,0.52,546.613,0.032, no,Response to Stimulus,1.52587286,7394.88621,0.0439522848
48519.0,-4099.264,0.516,648.224,0.024, no,Negative Regulation,1.66733745,8952.15321,0.0588068244
51179.0,-3896.972,0.514,710.569,0.026, no,Localization,1.88189604,9349.93479,0.0614502616
32501.0,-3770.335,0.512,951.345,0.028, no,Multicellular Organismal Process,2.41423303,15595.77,0.0848338624
